Nodo,DEV,MEM,IO,NET,PRO,OTH
tg-c117,263,5,0,0,0,0
tg-c238,1071,0,230,3,0,0
tg-c242,918,149,0,0,0,0
tg-c401,50782,11558,0,0,0,0
tg-c572,3176,845,0,0,0,0
tg-c648,643,0,0,0,616,0
tg-c669,257,10,0,0,0,0
tg-login3,0,0,381,1,0,0
tg-master,0,0,452,3639,0,0
tg-s044,0,0,3208,2,0,14
