 r  b   swpd libero   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0    256 137272  60620 1030632    0    0     0     0 8821 1249  6 44 49  0  0
 3  0    256 137272  60620 1030652    0    0     0     4 9114 1334  7 53 40  0  0
 3  0    256 137272  60628 1030664    0    0     0    44 11016 1364  7 59 34  0  0
 2  0    256 137272  60628 1030680    0    0     0    60 7329 1144  7 42 51  0  0
 2  0    256 137272  60628 1030700    0    0     0     0 8108 1247  7 48 46  0  0
 0  0    256 137272  60628 1030708    0    0     0     0 6845 1151  4 41 55  0  0
 0  0    256 137272  60628 1030712    0    0     0     0 13167 1411  9 68 23  0  0
 4  0    256 137272  60636 1030720    0    0     0    32 6666 1283  5 47 48  0  0
 0  0    256 137272  60636 1030732    0    0     0    56 12478 1290  8 60 32  0  0
 3  0    256 137272  60636 1030744    0    0     0     0 5106 1046  4 36 60  0  0
 1  0    256 137272  60636 1030752    0    0     0     0 10130 1265  8 51 41  0  0
 0  0    256 137272  60636 1030764    0    0     0     0 5397 1112  5 36 59  0  0
 1  0    256 137272  60644 1030776    0    0     0    28 10961 1329  6 60 34  0  0
 4  0    256 137272  60644 1030784    0    0     0     4 9713 1193  8 53 39  0  0
 1  0    256 137272  60644 1030796    0    0     0    60 12291 1343  7 61 32  0  0
 1  0    256 137272  60644 1030808    0    0     0     0 7042 1305  4 51 45  0  0
 2  0    256 137272  60644 1030820    0    0     0     0 12909 1298  8 61 31  0  0
 2  0    256 137272  60652 1030828    0    0     0    44 3784 1075  5 28 67  0  0
 0  0    256 137272  60652 1030840    0    0     0     0 8721 1127  6 47 48  0  0
 1  0    256 137272  60652 1030856    0    0     0    60 9030 1246  6 51 43  0  0
 2  0    256 137272  60652 1030864    0    0     0     0 8109 1204  4 48 47  0  0
 4  0    256 137272  60652 1030872    0    0     0     0 10651 1247  8 55 37  0  0
 5  0    256 137272  60660 1030888    0    0     0    28 6435 1124  3 40 57  0  0
 0  0    256 137272  60660 1030900    0    0     0     0 9750 1201  7 47 46  0  0
 1  0    256 137272  60660 1030912    0    0     0    60 7210 1298  7 47 45  0  0
 2  0    256 137272  60660 1030916    0    0     0     8 10004 1225  7 48 45  0  0
 1  0    256 137272  60660 1030932    0    0     0     0 4563 1153  4 35 60  0  0
 3  0    256 137272  60668 1030948    0    0     0    60 7122 1015  4 36 60  0  0
 0  0    256 137272  60668 1030956    0    0     0     0 5258 1077  4 30 66  0  0
 0  0    256 137272  60668 1030968    0    0     0    56 4049 1128  6 28 66  0  0
 1  0    256 137272  60668 1030976    0    0     0     0 12274 1320  9 60 31  0  0
 3  0    256 137272  60668 1030988    0    0     0     4 4813 1097  5 33 62  0  0
 4  0    256 137272  60676 1031000    0    0     0    28 8515 1149  4 53 43  0  0
 3  0    256 137272  60676 1031008    0    0     0     0 10196 1273  8 49 42  0  0
 1  0    256 137272  60676 1031020    0    0     0    60 7546 1304  7 47 46  0  0
 1  0    256 137272  60676 1031032    0    0     0     0 8260 1197  7 47 45  0  0
 4  0    256 137272  60676 1031040    0    0     0     0 8107 1231  8 48 43  0  0
 3  0    256 137272  60684 1031052    0    0     0    32 11405 1315  4 63 33  0  0
 3  0    256 137272  60684 1031064    0    0     0     0 11101 1151  7 55 38  0  0
 2  0    256 137272  60684 1031072    0    0     0    56 7231 1267  5 48 48  0  0
 2  0    256 137272  60684 1031084    0    0     0     0 8104 1180  4 45 51  0  0
 0  0    256 137272  60684 1031100    0    0     0     0 9558 1320  6 57 37  0  0
 1  0    256 137272  60692 1031108    0    0     0    44 6742 1159  6 41 53  0  0
 0  0    256 137272  60692 1031120    0    0     0     4 9374 1146  5 50 46  0  0
 0  0    256 137272  60692 1031132    0    0     0    60 5338 1218  6 42 52  0  0
 3  0    256 137272  60692 1031140    0    0     0     0 12561 1399  7 69 25  0  0
 0  0    256 137272  60692 1031152    0    0     0     0 7524 1306  6 50 44  0  0
 2  0    256 137272  60700 1031160    0    0     0    28 8715 1258  4 50 46  0  0
 2  0    256 137272  60700 1031172    0    0     0     0 5886 1309  6 42 52  0  0
 2  0    256 137272  60700 1031184    0    0     0    64 9324 1420  5 51 44  0  0
 1  0    256 137272  60700 1031192    0    0     0     0 7330 1489  8 48 44  0  0
 0  0    256 137272  60700 1031204    0    0     0     0 7963 1264  3 46 51  0  0
 3  0    256 137272  60708 1031216    0    0     0    44 8395 1334  5 52 43  0  0
 7  0    256 137272  60708 1031224    0    0     0     0 12434 1595  9 69 22  0  0
 0  0    256 137272  60708 1031240    0    0     0     0 8859 1532  8 59 34  0  0
 0  0    256 137272  60708 1031252    0    0     0    60 10920 1467  5 61 34  0  0
 3  0    256 137272  60708 1031260    0    0     0     0 6626 1263  6 42 52  0  0
 1  0    256 137272  60716 1031272    0    0     0    36 11188 1356  5 62 33  0  0
 1  0    256 137272  60716 1031284    0    0     0     0 8743 1292  8 48 44  0  0
 0  0    256 137272  60716 1031292    0    0     0     0 10941 1338  7 60 33  0  0
 1  0    256 137272  60716 1031304    0    0     0    60 6561 1265  7 40 53  0  0
 0  0    256 137272  60716 1031316    0    0     0     4 10291 1275  6 52 42  0  0
 1  0    256 137272  60724 1031324    0    0     0    52 5130 1069  3 35 62  0  0
 0  0    256 137272  60724 1031336    0    0     0     0 13955 1408  8 70 22  0  0
 0  0    256 137272  60724 1031352    0    0     0     0 10025 1353  8 60 32  0  0
 1  0    256 137272  60724 1031364    0    0     0    56 12343 1462 10 69 21  0  0
 2  0    256 137272  60724 1031368    0    0     0     0 9379 1203  6 50 44  0  0
 2  0    256 137272  60732 1031380    0    0     0    32 7578 1134  3 46 51  0  0
 0  0    256 137272  60732 1031392    0    0     0     0 8904 1238  7 47 47  0  0
 0  0    256 137272  60732 1031404    0    0     0     0 6340 1215  5 41 54  0  0
 3  0    256 137272  60732 1031412    0    0     0    60 9818 1259  8 51 41  0  0
 4  0    256 137272  60732 1031428    0    0     0     0 8306 1222  8 48 45  0  0
 2  0    256 137272  60740 1031436    0    0     0    44 10300 1244  4 61 35  0  0
 1  0    256 137272  60740 1031448    0    0     0     8 12261 1439  8 71 21  0  0
 1  0    256 137272  60740 1031460    0    0     0     0 8768 1197  6 45 50  0  0
 1  0    256 137272  60740 1031472    0    0     0    56 7072 1260  7 45 47  0  0
 0  0    256 137272  60740 1031480    0    0     0     0 7290 1145  6 41 53  0  0
 3  0    256 137272  60748 1031492    0    0     0    32 8892 1100  3 49 48  0  0
 1  0    256 137272  60748 1031500    0    0     0     0 5229 1140  8 36 56  0  0
 0  0    256 137272  60748 1031516    0    0     0     4 11494 1280 11 54 35  0  0
 1  0    256 137272  60748 1031528    0    0     0    60 5723 1200  4 44 52  0  0
 1  0    256 137272  60748 1031536    0    0     0     0 10205 1203  6 50 44  0  0
 1  0    256 137272  60756 1031548    0    0     0    48 5378 1143  5 41 54  0  0
 3  0    256 137272  60756 1031560    0    0     0     0 9830 1245  6 52 42  0  0
 0  0    256 137272  60756 1031568    0    0     0     0 10206 1314  8 59 34  0  0
 0  0    256 137272  60756 1031580    0    0     0    60 9703 1249  8 50 42  0  0
 0  0    256 137272  60756 1031592    0    0     0     0 7791 1235  4 50 46  0  0
 1  0    256 137272  60764 1031600    0    0     0    28 8154 1136  3 48 49  0  0
 1  0    256 137272  60764 1031612    0    0     0     0 10971 1333 10 57 33  0  0
 5  0    256 137272  60764 1031620    0    0     0     0 8393 1263  5 51 44  0  0
 0  0    256 137272  60764 1031632    0    0     0    60 8136 1259  7 48 45  0  0
 2  0    256 137272  60764 1031644    0    0     0     4 5698 1103  4 35 61  0  0
 0  0    256 137272  60772 1031660    0    0     0    44 10022 1257  4 60 36  0  0
 1  0    256 137272  60772 1031668    0    0     0     0 8417 1218  8 47 46  0  0
 3  0    256 137272  60772 1031680    0    0     0     0 8781 1285  6 55 39  0  0
 1  0    256 137272  60772 1031688    0    0     0    56 9985 1223  8 45 46  0  0
 0  0    256 137272  60772 1031700    0    0     0     0 8517 1326  7 56 37  0  0
 1  0    256 137272  60780 1031712    0    0     0    32 9529 1096  3 45 52  0  0
 2  0    256 137272  60780 1031720    0    0     0     0 8887 1347  8 51 41  0  0
 3  0    256 137272  60780 1031732    0    0     0     0 11092 1337  7 58 35  0  0
 0  0    256 137272  60780 1031744    0    0     0     0 7145 1192  6 45 50  0  0
 1  0    256 137272  60780 1031752    0    0     0    60 10165 1167  3 55 42  0  0
 2  0    256 137272  60788 1031764    0    0     0    44 8740 1310  7 51 42  0  0
 0  0    256 137272  60788 1031776    0    0     0     4 8941 1261  5 50 45  0  0
 0  0    256 137272  60788 1031784    0    0     0     0 9648 1307  8 55 37  0  0
 4  0    256 137272  60788 1031800    0    0     0     0 7157 1175  6 38 56  0  0
 2  0    256 137272  60788 1031812    0    0     0    60 5715 1103  4 36 60  0  0
 2  0    256 137272  60796 1031820    0    0     0    28 5685 1309  7 38 55  0  0
 1  0    256 137272  60796 1031832    0    0     0     0 8868 1434  5 49 45  0  0
 0  0    256 137272  60796 1031840    0    0     0     4 6767 1358  5 50 45  0  0
 1  0    256 137272  60796 1031852    0    0     0     0 10899 1412  5 58 37  0  0
 1  0    256 137272  60796 1031864    0    0     0    56 7721 1401  4 54 42  0  0
 3  0    256 137272  60804 1031872    0    0     0    44 7935 1315  5 44 51  0  0
 0  0    256 137272  60804 1031884    0    0     0     0 6438 1352  7 44 50  0  0
 2  0    256 137272  60804 1031896    0    0     0     0 9707 1505  6 59 35  0  0
 1  0    256 137272  60804 1031904    0    0     0     4 7112 1244  6 44 50  0  0
 0  0    256 137272  60804 1031916    0    0     0    60 8265 1332  6 50 44  0  0
 0  0    256 137272  60812 1031932    0    0     0    28 7902 1396  6 47 47  0  0
 1  0    256 137272  60812 1031940    0    0     0     0 6248 1250  4 45 51  0  0
 0  0    256 137272  60812 1031952    0    0     0     0 10666 1379  7 60 33  0  0
 3  0    256 137272  60812 1031960    0    0     0     0 12746 1429  8 68 25  0  0
 2  0    256 137272  60812 1031976    0    0     0    64 9104 1214  5 54 41  0  0
 0  0    256 137272  60820 1031988    0    0     0    52 7663 1202  6 43 51  0  0
 1  0    256 137272  60820 1031996    0    0     0     0 11767 1324 10 57 33  0  0
 1  0    256 137272  60820 1032016    0    0     0     0 7393 1277  8 42 49  0  0
 3  0    256 137272  60820 1032028    0    0     0     0 8807 1157  8 45 47  0  0
 1  0    256 137272  60820 1032028    0    0     0    60 10900 1363  8 60 32  0  0
 1  0    256 137272  60828 1032040    0    0     0    32 8073 1268  6 46 46  1  0
 2  0    256 137272  60828 1032052    0    0     0     0 9457 1223  6 48 45  0  0
 0  0    256 137272  60828 1032060    0    0     0     0 7055 1228  6 47 48  0  0
 0  0    256 137272  60828 1032076    0    0     0     0 10974 1281  9 56 35  0  0
 0  0    256 137272  60828 1032088    0    0     0    56 9826 1195  5 58 37  0  0
 3  0    256 137272  60836 1032096    0    0     0    44 10412 1255  4 57 39  0  0
 1  0    256 137272  60836 1032108    0    0     0     4 7708 1217  6 47 47  0  0
 3  0    256 137272  60836 1032120    0    0     0     0 10645 1287  7 59 34  0  0
 2  0    256 137272  60836 1032128    0    0     0     0 8831 1170  8 51 41  0  0
 0  0    256 137272  60836 1032140    0    0     0    60 8104 1188  5 46 49  0  0
 0  0    256 137272  60852 1032152    0    0     0    56 10547 1388  7 61 32  0  0
 1  0    256 137272  60852 1032160    0    0     0     0 9893 1232  7 49 44  0  0
 1  0    256 137272  60852 1032172    0    0     0     4 6470 1157  9 40 51  0  0
 1  0    256 137272  60852 1032184    0    0     0     0 7926 1055  3 41 56  0  0
