 r  b   swpd libero   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0  62208 311924  49136 835620    1   26   591   885 7849 1562 32 51 17  0  0
 5  0  62208 296200  49136 835632    0    0     0     8 9815 1698 41 59  0  0  0
19  0  62208 293960  49136 835864    0    0     0   724 10786 1563 42 58  0  0  0
16  0  62208 285868  49136 835640    0    0     0     4 9211 1878 43 57  0  0  0
12  0  62208 282508  49144 835692    0    0     0   188 10360 1964 41 59  0  0  0
19  0  62208 277472  49144 835676    0    0     0     0 9954 2276 41 59  0  0  0
38  0  62208 273888  49144 835688    0    0     0     4 10457 2079 40 60  0  0  0
18  0  62208 263120  49144 835700    0    0     0     0 10322 2072 35 65  0  0  0
64  0  62208 260936  49144 835708    0    0     0     0 10773 2523 43 57  0  0  0
28  0  62208 259172  49152 835720    0    0     0   124 10684 2354 42 58  0  0  0
41  0  62208 250548  49152 835740    0    0     0     0 10767 2548 42 58  0  0  0
30  0  62208 246684  49152 835748    0    0     0     0 11071 1966 35 65  0  0  0
48  0  62208 246184  49152 835760    0    0     0     4 10844 1951 36 64  0  0  0
41  0  62208 237096  49152 835772    0    0     0     0 10992 1736 32 68  0  0  0
47  0  62208 214204  49160 835776    0    0     0    84 10672 2001 32 68  0  0  0
49  0  62208 213700  49160 835792    0    0     0     0 10732 2099 34 66  0  0  0
27  0  62208 213700  49160 835800    0    0     0     0 7226 1743 30 70  0  0  0
48  0  62208 213700  49160 835800    0    0     0     0 7705 1606 27 73  0  0  0
29  0  62208 214272  49160 835824    0    0     0     4 8382 1704 24 76  0  0  0
32  0  62208 214544  49160 835836    0    0     0  1152 10604 1858 35 65  0  0  0
22  0  62208 214040  49168 835836    0    0     0    28 9678 2006 30 70  0  0  0
23  0  62208 214040  49168 835844    0    0     0     0 10144 1680 39 61  0  0  0
20  0  62208 223468  49168 835856    0    0     0     0 10700 1916 36 64  0  0  0
22  0  62208 222976  49168 835872    0    0     0     0 11539 1939 35 65  0  0  0
16  0  62208 222976  49168 835888    0    0     0    68 11450 2128 37 63  0  0  0
33  0  62208 222976  49176 835900    0    0     0    28 10318 1918 41 59  0  0  0
38  0  62208 222976  49176 835916    0    0     0     0 11137 1635 31 69  0  0  0
48  0  62208 222976  49176 835928    0    0     0     0 10811 1769 35 65  0  0  0
