 r  b   swpd libero   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0    256 165816  56752 1015892    0    0   122    32 2661 1231  8 17 75  0  0
 0  0    256 165816  56752 1015892    0    0     0   620 1066 2626 34 10 56  0  0
 0  0    256 165816  56752 1015832    0    0     0     0  216  603  3  1 96  0  0
 2  0    256 165816  56752 1015820    0    0     0     0 2834  905  6 20 75  0  0
 1  0    256 163800  56752 1015828    0    0     0    12 9591 1208  6 50 44  0  0
 0  0    256 163800  56760 1015824    0    0     0    68 6753 1297  6 46 48  0  0
 0  0    256 163800  56760 1015844    0    0     0   160 6786 1093  8 34 58  0  0
 1  0    256 163800  56760 1015848    0    0     0     0 4809  897  4 27 69  0  0
 0  0    256 163800  56760 1015856    0    0     0     0 3954 1077  6 27 67  0  0
 0  0    256 163800  56760 1015864    0    0     0    44 6782 1242  6 39 55  0  0
 3  0    256 163800  56768 1015864    0    0     0    36 6223 1083  5 35 60  0  0
 0  0    256 163800  56768 1015880    0    0     0     0 3891 1023  6 30 64  0  0
 0  0    256 163800  56768 1015888    0    0     0     4 6743 1174  4 40 56  0  0
 0  0    256 163800  56768 1015892    0    0     0     0 6536  961  6 33 61  0  0
 0  0    256 163800  56768 1015900    0    0     0    40 3935  979  5 27 68  0  0
 1  0    256 163800  56776 1015900    0    0     0    28 4965 1030  5 31 64  0  0
 1  0    256 163800  56776 1015908    0    0     0    20 4928  950  3 28 69  0  0
 1  0    256 163800  56776 1015920    0    0     0     0 6435 1052  5 39 56  0  0
 0  0    256 163800  56776 1015924    0    0     0     4 4341  880  3 30 67  0  0
 0  0    256 163800  56776 1015932    0    0     0    36 6510 1023  5 35 60  0  0
 4  0    256 163128  56784 1015932    0    0     0    28 6444 1058  3 39 58  0  0
 1  0    256 163128  56784 1015940    0    0     0     0 5072 1426  5 36 59  0  0
 1  0    256 163128  56784 1015952    0    0     0     0 7185 1390  6 42 52  0  0
 1  0    256 163128  56784 1015956    0    0     0     0 7488  979  4 47 49  0  0
 0  0    256 163128  56784 1015968    0    0     0    44 5417  988  5 33 63  0  0
 2  0    256 163128  56792 1015968    0    0     0    28 6245  968  7 32 61  0  0
 1  0    256 163128  56792 1015976    0    0     0    12 3592  862  4 23 73  0  0
 2  0    256 163128  56792 1015988    0    0     0     0 4051  923  6 27 67  0  0
