 r  b   swpd libero   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0    256 133228  62360 1041060    0    0    72    25 3086 1103  7 19 74  0  0
 0  0    256 133228  62360 1036688    0    0     0     0  539 1460 13  6 81  0  0
 0  0    256 132976  62372 1036664    0    0     0   188  408 1181 18  5 77  0  0
 3  0    256 132976  62372 1036676    0    0     0     8 8301 1552  9 46 44  0  0
 6  0    256 132976  62372 1036676    0    0     0    28 8251 1483  6 56 38  0  0
 1  0    256 132976  62372 1036688    0    0     0     0 12991 1584  6 83 11  0  0
 3  0    256 132976  62372 1036704    0    0     0     4 10207 1554  6 66 28  0  0
 5  0    256 132976  62380 1036716    0    0     0   204 12524 1857  6 85  9  0  0
 6  0    256 132976  62380 1036724    0    0     0     0 11503 1594 14 67 19  0  0
 7  0    256 132976  62380 1036740    0    0     0    76 10331 2203  7 68 25  0  0
 7  0    256 132080  62380 1036752    0    0     0     0 13755 1788  8 82 10  0  0
 4  0    256 131408  62380 1036768    0    0     0   416 13663 1866 10 84  6  0  0
 5  0    256 131408  62388 1036780    0    0     0    40 11985 1543 10 65 25  0  0
 9  0    256 131408  62388 1036792    0    0     0     0 13245 1616 10 75 16  0  0
 6  0    256 131408  62388 1036808    0    0     0    76 11745 1506  5 74 21  0  0
 3  0    256 131408  62388 1036820    0    0     0     0 10984 1439  9 59 32  0  0
 3  0    256 131408  62388 1036832    0    0     0     0 12783 1523  8 71 21  0  0
 4  0    256 131408  62396 1036844    0    0     0    52 12284 1555  8 76 17  0  0
 2  0    256 126256  62396 1036856    0    0     0     4 13148 1522 11 79 10  0  0
 5  0    256 126256  62396 1036868    0    0     0    68 9010 1253  6 53 41  0  0
 4  0    256 126256  62396 1036884    0    0     0     0 11864 1450  9 63 28  0  0
10  0    256 126256  62396 1036896    0    0     0     0 12949 1448  9 65 26  0  0
 7  0    256 126256  62404 1036912    0    0     0    28 12132 1496  8 67 25  0  0
 7  0    256 126256  62404 1036924    0    0     0     0 12380 1455  7 73 20  0  0
 5  0    256 126256  62404 1036944    0    0     0    72 10750 1230  5 56 39  0  0
 0  0    256 126256  62404 1036960    0    0     0     0 8815 1366  8 54 38  0  0
 5  0    256 126256  62404 1036964    0    0     0     0 13056 1398  7 65 28  0  0
 3  0    256 124176  62412 1036976    0    0     0    44 13969 1495  7 77 16  0  0
 6  0    256 124176  62412 1036988    0    0     0     0 9237 1259  5 58 37  0  0
 9  0    256 124176  62412 1037000    0    0     0    72 14440 1519 10 76 14  0  0
 8  0    256 124176  62412 1037012    0    0     0     4 13224 1477  8 69 22  0  0
10  0    256 117848  62412 1037024    0    0     0   308 13671 1652  9 87  4  0  0
 1  0    256 124224  62420 1037040    0    0     0    36 9752 1210  5 54 41  0  0
10  0    256 124224  62420 1037052    0    0     0     0 12139 1371  7 66 27  0  0
 9  0    256 124252  62420 1037068    0    0     0    68 14094 1561  8 80 11  0  0
 5  0    256 124292  62420 1037080    0    0     0     0 11749 1445  9 66 25  0  0
 6  0    256 124292  62420 1037092    0    0     0     4 8774 1248  8 50 42  0  0
 1  0    256 124292  62428 1037108    0    0     0    52 10311 1223  7 52 41  0  0
 8  0    256 124292  62428 1037120    0    0     0     0 11863 1310 11 55 34  0  0
 2  0    256 124292  62428 1037132    0    0     0    68 12461 1537 10 75 15  0  0
 9  0    256 124292  62428 1037144    0    0     0     0 11588 1390  8 65 27  0  0
 9  0    256 124292  62428 1037156    0    0     0     0 15439 1461  8 81 12  0  0
 7  0    256 124180  62436 1037168    0    0     0    32 13676 1520  7 76 17  0  0
 4  0    256 124180  62436 1037184    0    0     0     0 10366 1359  7 60 33  0  0
 6  0    256 124180  62436 1037196    0    0     0     0 13031 1435  7 71 22  0  0
 3  0    256 124064  62436 1037212    0    0     0    68 10000 1373 10 61 29  0  0
 1  0    256 124064  62452 1037260    0    0     0   100 9678 1272  5 52 43  0  0
 3  0    256 124064  62452 1037272    0    0     0    24 12558 1391  5 65 30  0  0
11  0    256 124064  62452 1037288    0    0     0     8 11602 1426  8 67 25  0  0
 3  0    256 124064  62452 1037304    0    0     0     0 12993 1476  9 74 17  0  0
 4  0    256 124064  62452 1037316    0    0     0    72 15486 1468  8 80 12  0  0
 1  0    256 124064  62460 1037332    0    0     0    88 6597 1212  8 43 49  0  0
 3  0    256 124064  62460 1037344    0    0     0     0 11987 1423  8 63 29  0  0
 0  0    256 124064  62460 1037356    0    0     0     0 9737 1324  9 52 39  0  0
 5  0    256 124064  62460 1037368    0    0     0     4 11891 1378 10 63 27  0  0
10  0    256 124064  62460 1037384    0    0     0    64 13459 1461  6 79 16  0  0
 6  0    256 124064  62468 1037396    0    0     0    72 13192 1463  7 74 19  0  0
 8  0    256 124064  62468 1037408    0    0     0     0 13262 1487  7 76 17  0  0
 5  0    256 124064  62468 1037420    0    0     0     0 13472 1531  8 72 20  0  0
 3  0    256 124064  62468 1037420    0    0     0     0 11789 1383  9 61 30  0  0
 1  0    256 124064  62468 1037432    0    0     0    76 9504 1274  7 52 41  0  0
 1  0    256 124064  62476 1037448    0    0     0    48 13853 1522 10 70 21  0  0
 0  0    256 124064  62476 1037460    0    0     0     0 8819 1349  6 54 40  0  0
 0  0    256 124064  62476 1037472    0    0     0     0 11740 1486  8 68 24  0  0
 4  0    256 124064  62476 1037488    0    0     0     0 10781 1330  4 60 36  0  0
 5  0    256 124064  62476 1037504    0    0     0    68 7986 1461  2 57 41  0  0
 5  0    256 124064  62484 1037516    0    0     0    68 9302 1437  7 51 42  0  0
 4  0    256 124064  62484 1037528    0    0     0     0 8362 1597  4 62 34  0  0
 6  0    256 124064  62484 1037540    0    0     0     0 11413 1513  6 60 33  0  0
 3  0    256 124064  62484 1037552    0    0     0     0 8929 1503  7 59 35  0  0
 3  0    256 124064  62484 1037564    0    0     0    68 13361 1717  7 74 19  0  0
