 r  b   swpd libero   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  11520 243496  66700 917336    0    1    61    24 1553 1121  7 26 68  0  0
 1  0  11520 243496  66712 917340    0    0     0   176 10742 1871 14 70 16  0  0
 5  0  11520 243496  66712 917360    0    0     0     8 13081 1733 10 74 16  0  0
11  0  11520 243496  66712 917356    0    0     0     0 12094 1956 10 75 15  0  0
 7  0  11520 238552  66712 917372    0    0     0    64 13964 2057  9 90  1  0  0
16  0  11520 232952  66712 917388    0    0     0     0 14899 2239  5 95  0  0  0
 3  0  11520 232952  66720 917404    0    0     0    44 14675 2252 13 85  2  0  0
20  0  11520 225784  66720 917416    0    0     0   564 14212 2941 12 87  1  0  0
19  0  11520 225784  66720 917432    0    0     0     0 13391 3160 12 88  0  0  0
23  0  11520 226808  66720 917444    0    0     0    88 14731 2444  8 91  1  0  0
14  0  11520 226568  66720 917460    0    0     0     0 15462 2670  8 92  0  0  0
19  0  11520 221400  66728 917472    0    0     0    52 13359 2964 11 89  0  0  0
16  0  11520 221400  66728 917488    0    0     0     4 13639 2483  7 93  0  0  0
32  0  11520 221400  66728 917504    0    0     0     0 15238 2479  8 92  0  0  0
10  0  11520 221400  66728 917520    0    0     0    80 15128 2225  6 94  0  0  0
13  0  11520 229152  66728 917536    0    0     0     0 14237 2591 11 89  0  0  0
 2  0  11520 233560  66736 917556    0    0     0    28 12004 1890 10 74 17  0  0
10  0  11520 233312  66736 917568    0    0     0     0 13983 1941  8 84  9  0  0
19  0  11520 233072  66736 917584    0    0     0   196 15153 2011 10 89  1  0  0
 9  0  11520 233072  66736 917604    0    0     0    84 14156 2169 11 89  0  0  0
16  0  11520 232624  66736 917616    0    0     0     0 14997 2328  8 92  0  0  0
18  0  11520 227472  66744 917632    0    0     0    28 14874 2365  6 94  0  0  0
 3  0  11520 229268  66744 917652    0    0     0     0 14515 1847  9 89  2  0  0
 6  0  11520 232632  66744 917668    0    0     0     0 13035 1893 11 81  8  0  0
14  0  11520 232392  66744 917684    0    0     0    96 14012 1816  8 90  2  0  0
 6  0  11520 232392  66744 917700    0    0     0     0 15938 1902 12 87  1  0  0
 6  0  11520 232392  66752 917716    0    0     0    28 16000 1949  8 92  0  0  0
 9  0  11520 225432  66752 917732    0    0     0     0 13763 2045  8 90  2  0  0
11  0  11520 225432  66752 917748    0    0     0     0 14256 2334 10 90  0  0  0
23  0  11520 217144  66752 917764    0    0     0    88 15689 2395  5 95  0  0  0
27  0  11520 217144  66752 917780    0    0     0     4 15262 2231  8 92  0  0  0
24  0  11520 205480  66760 917796    0    0     0    28 14189 2577  8 92  0  0  0
 6  0  11520 197640  66760 917812    0    0     0     0 14402 2405 10 90  0  0  0
15  0  11520 212200  66760 917832    0    0     0     0 16037 1784 10 88  2  0  0
10  0  11520 211468  66760 917848    0    0     0    84 14717 1992  6 94  0  0  0
18  0  11520 211992  66760 917864    0    0     0     0 15040 1896 11 89  0  0  0
14  0  11520 211992  66768 917880    0    0     0    32 14714 2190 11 89  0  0  0
13  0  11520 196312  66768 917892    0    0     0     0 15699 2162  8 92  0  0  0
22  0  11520 196072  66768 917908    0    0     0     0 15575 2387  6 94  0  0  0
16  0  11520 195864  66768 917924    0    0     0    84 12174 2087 11 88  1  0  0
23  0  11520 197212  66768 917936    0    0     0     0 13220 2411 10 90  0  0  0
23  0  11520 197212  66776 917956    0    0     0    28 14932 2277  9 90  1  0  0
17  0  11520 197212  66776 917972    0    0     0     4 14512 2395 10 90  0  0  0
16  0  11520 196764  66776 917988    0    0     0     0 14213 2189 10 90  0  0  0
17  0  11520 202212  66776 918004    0    0     0     0 14496 2415  9 91  0  0  0
17  0  11520 210252  66776 918028    0    0     0    88 15457 1941 10 90  0  0  0
15  0  11520 214444  66784 918044    0    0     0    28 14238 2187  9 91  0  0  0
 3  0  11520 201852  66784 918056    0    0     0     0 13882 2158 10 90  0  0  0
13  0  11520 201600  66784 918076    0    0     0     8 15826 2120  8 91  1  0  0
24  0  11520 201600  66784 918088    0    0     0     0 15064 2285 10 90  0  0  0
22  0  11520 194432  66784 918108    0    0     0    88 13995 2083  8 92  0  0  0
16  0  11520 194432  66792 918120    0    0     0    60 14315 2360  6 94  0  0  0
21  0  11520 194432  66792 918140    0    0     0     0 14710 2249 13 87  0  0  0
18  0  11520 194432  66792 918152    0    0     0     0 15954 2552  9 91  0  0  0
15  0  11520 198328  66792 918172    0    0     0     4 14457 2183 10 90  0  0  0
27  0  11520 197840  66792 918188    0    0     0    84 13778 2361 13 87  0  0  0
14  0  11520 200452  66800 918204    0    0     0    28 16297 2120  7 93  0  0  0
13  0  11520 200200  66800 918220    0    0     0     0 15139 2464 10 90  0  0  0
22  0  11520 190536  66800 918236    0    0     0     0 14378 2429 12 88  0  0  0
19  0  11520 200096  66800 918252    0    0     0     0 13403 2222 10 90  0  0  0
25  0  11520 194912  66800 918268    0    0     0    92 15148 2131  6 94  0  0  0
16  0  11520 194664  66808 918284    0    0     0    28 15763 2187 11 89  0  0  0
13  0  11520 203700  66808 918296    0    0     0     0 13445 2239 11 89  0  0  0
 1  0  11520 222060  66808 918316    0    0     0     0 13617 1831 12 84  4  0  0
 6  0  11520 230828  66808 918336    0    0     0     0 14351 1608  7 82 11  0  0
 5  0  11520 230828  66808 918352    0    0     0    92 14173 1535  7 82 11  0  0
14  0  11520 230576  66816 918368    0    0     0    32 13399 1907 12 87  1  0  0
10  0  11520 230576  66816 918384    0    0     0     0 14012 1930  7 92  1  0  0
11  0  11520 225408  66816 918400    0    0     0     0 15920 1894  7 93  0  0  0
 1  0  11520 229264  66816 918420    0    0     0     0 14582 1779  7 90  3  0  0
12  0  11520 229580  66816 918436    0    0     0    88 13534 1994  7 86  7  0  0
20  0  11520 221024  66824 918452    0    0     0    28 14635 2403 12 88  0  0  0
33  0  11520 204196  66824 918460    0    0     0     4 15600 2595  9 91  0  0  0
11  0  11520 184432  66824 918480    0    0     0     0 10073 2111  5 93  2  0  0
20  0  11520 187316  66824 918492    0    0     0     0 12492 2314  7 91  2  0  0
19  0  11520 204928  66824 918504    0    0     0    76 13646 2755  8 92  0  0  0
37  0  11520 204172  66832 918520    0    0     0    28 12652 2536 11 89  0  0  0
24  0  11520 204172  66832 918536    0    0     0     0 12670 2636  8 92  0  0  0
30  0  11520 204172  66832 918548    0    0     0     4 14616 2555  4 96  0  0  0
21  0  11520 204172  66832 918564    0    0     0     0 15912 2674  8 92  0  0  0
34  0  11520 202912  66832 918576    0    0     0    76 14949 2657 10 90  0  0  0
19  0  11520 211192  66840 918596    0    0     0    28 14537 2254 12 88  0  0  0
28  0  11520 210452  66840 918612    0    0     0     0 14391 2245  7 93  0  0  0
11  0  11520 209696  66840 918628    0    0     0     0 15949 2373  9 91  0  0  0
17  0  11520 209456  66840 918644    0    0     0     4 15043 2283  8 92  0  0  0
20  0  11520 208336  66840 918660    0    0     0    92 14248 2484  6 94  0  0  0
 8  0  11520 208336  66848 918676    0    0     0    44 15037 2326 11 89  0  0  0
 8  0  11520 230580  66848 918700    0    0     0     0 15766 1956  8 89  3  0  0
16  0  11520 230092  66848 918708    0    0     0     0 14009 2216  6 91  3  0  0
 7  0  11520 229840  66848 918724    0    0     0     0 14101 2012  9 91  0  0  0
 4  0  11520 229840  66848 918744    0    0     0     4 15387 1841  6 92  2  0  0
 0  0  11520 231384  66856 918760    0    0     0   116 13180 1527  6 75 19  0  0
 5  0  11520 231144  66856 918776    0    0     0     0 11752 1688 12 74 15  0  0
 3  0  11520 231144  66856 918792    0    0     0     0 14801 2151 12 87  1  0  0
13  0  11520 227768  66856 918808    0    0     0     0 15835 2023  9 91  0  0  0
14  0  11520 216792  66856 918824    0    0     0     0 14767 2547 13 87  0  0  0
 7  0  11520 227880  66864 918840    0    0     0   116 14184 2022  5 91  4  0  0
11  0  11520 228208  66864 918856    0    0     0     0 14690 2025 10 88  2  0  0
 0  0  11520 228208  66864 918876    0    0     0     0 15615 2130 11 88  1  0  0
17  0  11520 227968  66864 918892    0    0     0     0 16031 2010 10 90  0  0  0
24  0  11520 227968  66864 918912    0    0     0     0 14582 1940  9 91  0  0  0
14  0  11520 225924  66872 918924    0    0     0   116 14131 2240 10 90  0  0  0
10  0  11520 225924  66872 918944    0    0     0     8 14955 2111 10 90  0  0  0
20  0  11520 225924  66872 918960    0    0     0     0 15826 2129 12 88  0  0  0
23  0  11520 191632  66872 918976    0    0     0     0 14380 2301 11 89  0  0  0
14  0  11520 198580  66872 918996    0    0     0     0 15093 2570  8 92  0  0  0
10  0  11520 211056  66880 919012    0    0     0   112 15159 2705 10 90  0  0  0
21  0  11520 210804  66880 919024    0    0     0     0 14874 2128  8 92  0  0  0
 8  0  11520 219892  66880 919040    0    0     0     4 13621 2013 12 88  0  0  0
 7  0  11520 226576  66880 919060    0    0     0     0 14634 1810  7 86  7  0  0
 4  0  11520 225836  66880 919076    0    0     0     0 15641 1770 12 87  1  0  0
 7  0  11520 225836  66888 919088    0    0     0   116 14557 2090  9 91  0  0  0
20  0  11520 218876  66888 919104    0    0     0     0 14641 2076  9 91  0  0  0
24  0  11520 218120  66888 919120    0    0     0     0 14898 2193 11 89  0  0  0
15  0  11520 217364  66888 919132    0    0     0     4 15493 2785 10 90  0  0  0
22  0  11520 217112  66888 919148    0    0     0     0 13692 2357 11 89  0  0  0
13  0  11520 200072  66896 919164    0    0     0   108 14181 2543 12 88  0  0  0
34  0  11520 200072  66896 919180    0    0     0     0 14792 2110  9 91  0  0  0
17  0  11520 200072  66896 919196    0    0     0     0 15959 2205  5 95  0  0  0
11  0  11520 200836  66896 919212    0    0     0     0 13883 2133 10 90  0  0  0
15  0  11520 204500  66896 919228    0    0     0     4 13832 2000 10 90  0  0  0
 4  0  11520 231112  66904 919248    0    0     0   120 13841 2049  7 80 13  0  0
11  0  11520 231896  66904 919260    0    0     0     8 14549 1814  6 85  9  0  0
13  0  11520 231648  66904 919276    0    0     0     0 13981 2190  7 93  0  0  0
22  0  11520 223344  66904 919292    0    0     0     0 14005 2501 13 87  0  0  0
22  0  11520 206528  66904 919308    0    0     0     0 15315 2353  9 91  0  0  0
25  0  11520 206528  66912 919320    0    0     0   112 15696 2390  8 92  0  0  0
20  0  11520 190736  66912 919340    0    0     0     0 14524 2249  6 94  0  0  0
17  0  11520 201108  66912 919352    0    0     0     0 14755 2394  7 93  0  0  0
12  0  11520 207848  66912 919372    0    0     0     0 16200 2037  6 94  0  0  0
16  0  11520 207608  66912 919388    0    0     0     0 15462 1985  7 93  0  0  0
