NomeRichiesta,nRichieste,Throughput,ThroughputNorm
ExtraLarge HTTP Request,1618,5.3929198761428285,0.9707255777057092
ExtraSmall HTTP Request,1708,5.692896877906027,1.024721438023085
Large HTTP Request,1662,5.539575299227058,0.9971235538608706
Medium HTTP Request,1772,5.906213856937634,1.0631184942487741
Small HTTP Request,1686,5.619569166363911,1.011522449945504
SuperLarge HTTP Request,1653,5.509577599050739,0.991723967829133
