 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 270388  72200  10488 510160    0    0     0     0  599  366  1 14 85  0  0
 0  0 270388  72440  10488 510164    0    0     0    40  699  435  1 23 77  0  0
 0  0 270388  79024  10488 510168    0    0     0     0 1084  713  1 23 76  0  0
 0  0 270388  74544  10488 510168    0    0     0     0  572  315  1 11 88  0  0
 0  0 270388  72628  10496 510176    0    0     0    48  727  456  1 21 78  0  0
 3  0 270388  72460  10496 510176    0    0     0     0  534  399  1 23 76  0  0
 2  0 270388  71260  10496 510180    0    0     0     0  658  422  1 26 73  0  0
 0  0 270388  73080  10496 510180    0    0     0     0  584  294  0 15 85  0  0
 0  0 270388  73536  10496 510180    0    0     0     0  462  434  1 18 81  0  0
 0  0 270388  73540  10504 510176    0    0     0    16  438  351  0 10 90  0  0
 0  0 270388  73132  10504 510184    0    0     0     0  420  306  0  8 92  0  0
 1  0 270388  73948  10504 510188    0    0     0   128  462  421  1 21 78  0  0
 0  0 270388  74428  10504 510192    0    0     0     0  476  318  0 15 85  0  0
 0  0 270388  71908  10504 510192    0    0     0     0  360  327  1  6 93  0  0
 0  0 270388  73316  10512 510188   12    0    12    52  465  475  1 21 78  0  0
 2  0 270388  70452  10512 510196    0    0     0     0  421  308  0 15 85  0  0
 0  0 270388  70736  10520 510208    0    0     4    64  576  341  1 15 85  0  0
 0  0 270388  74520  10520 510212    0    0     0     0  373  306  1  8 92  0  0
 0  0 270388  73160  10520 510212    0    0     0     0  691  357  1 17 83  0  0
 0  0 270388  80876  10520 510216    0    0     0     0  316  279  0  8 92  0  0
 0  0 270388  78828  10532 510220    0    0     0    36  321  373  1 10 90  0  0
 0  0 270388  78324  10532 510224    0    0     0     8  397  294  1  2 97  0  0
 0  0 270388  80164  10544 510212    0    0     4    44  494  336  1 19 80  0  0
 0  0 270388  74536  10552 510236    0    0     0    64  569  483  1 10 89  0  0
 0  0 270388  71784  10552 510236    0    0     0     0  609  368  1 18 82  0  0
 0  0 270388  73092  10552 510240    0    0     0     0  396  333  0 10 90  0  0
 0  0 270388  73120  10556 510236    0    0     4  1124  499  329  0 13 87  0  0
 1  0 270388  71056  10560 510360    0    0   104    64 1154 1743  6 21 73  0  0
 0  0 270388  67468  10568 510352    0    0     0   108  567  333  1 12 87  0  0
 0  0 270388  77180  10568 509408    0    0     0     0  523  335  1 14 86  0  0
 1  0 270388  75356  10568 509408    0    0     0     0  765  464  1 21 78  0  0
 0  0 270388  76720  10568 509412    0    0     0     0  463  456  1 22 77  0  0
 0  0 270388  73748  10568 509628    0    0     0     0  510  544  2 18 81  0  0
 0  0 270388  71056  10576 509636    0    0     0    72  537  347  0 12 88  0  0
 0  0 270388  76188  10576 509636    0    0     0     0  503  318  0 12 88  0  0
