 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0  16468 126040  29428 747824    0    8   582   143  851  460  2 10 87  0  0
 0  0  16468 126040  29428 747828    0    0     0     0  120  357  2  1 97  0  0
 0  0  16468 126040  29428 747832    0    0     0     0  967  378  1 40 59  0  0
 0  0  16468 126040  29440 747824    0    0     0   652 1012  518  0 35 65  0  0
 0  0  16468 126040  29440 747844    0    0     0     0  908  492  1 25 74  0  0
 1  0  16468 126040  29440 747848    0    0     0     0 1039  472  0 27 73  0  0
 3  0  16468 126040  29440 747852    0    0     0     0 1297  500  0 36 64  0  0
 2  0  16468 126040  29440 747860    0    0     0     0 1398  499  1 45 54  0  0
 3  0  16468 126040  29448 747856    0    0     0    16 1269  495  1 48 51  0  0
 0  0  16468 126040  29448 747868    0    0     0     0 1091  498  0 32 68  0  0
 3  0  16468 126040  29448 747876    0    0     0     0 1307  478  0 40 60  0  0
 0  0  16468 126040  29448 747880    0    0     0     0 1160  489  1 36 63  0  0
 0  0  16468 126040  29448 747888    0    0     0     0 1265  415  1 43 56  0  0
 0  0  16468 126040  29456 747884    0    0     0    16 1131  409  0 36 64  0  0
 0  0  16468 126040  29456 747896    0    0     0     0 1291  424  0 38 62  0  0
 0  0  16468 126040  29456 747900    0    0     0     0 1293  591  0 19 81  0  0
 1  0  16468 126040  29456 747904    0    0     0     0 1031  552  2 15 83  0  0
 0  0  16468 126040  29456 747908    0    0     0     0 1393  608  0 21 79  0  0
 0  0  16468 126040  29456 747912    0    0     0     0 1218  521  0 15 85  0  0
 1  0  16468 126040  29464 747916    0    0     0    16 1004  503  1 11 88  0  0
 0  0  16468 126040  29464 747920    0    0     0     0 1112  479  1 13 86  0  0
 1  0  16468 126040  29464 747924    0    0     0     0  997  473  1  9 90  0  0
 1  0  16468 126040  29464 747928    0    0     0     0 1355  643  1 17 82  0  0
 0  0  16468 126040  29464 747932    0    0     0     0 1031  527  1 13 86  0  0
 0  0  16468 126040  29472 747936    0    0     0    16  959  554  0 11 89  0  0
 1  0  16468 126040  29472 747940    0    0     0     0 1723  788  0 23 77  0  0
 0  0  16468 126040  29472 747948    0    0     0     0 1476  693  0 19 81  0  0
 0  0  16468 126040  29472 747948    0    0     0     0 1239  641  0 18 82  0  0
 1  0  16468 126040  29472 747956    0    0     0     0 1416  543  1 18 81  0  0
 0  0  16468 126040  29480 747960    0    0     0    16 1410  638  0 16 84  0  0
 0  0  16468 126040  29480 747964    0    0     0     0  940  514  2 12 86  0  0
 0  0  16468 126040  29480 747968    0    0     0     0 1252  604  0 14 86  0  0
 0  0  16468 126040  29480 747972    0    0     0     0  922  481  0  9 91  0  0
 0  0  16468 126040  29480 747976    0    0     0   160 1041  527  0 10 90  0  0
 0  0  16468 126040  29488 747980    0    0     0    32 1349  678  0 17 83  0  0
 0  0  16468 126040  29488 747984    0    0     0     0 1786  774  0 25 75  0  0
 1  0  16468 126040  29488 747988    0    0     0     0 1790  708  0 26 74  0  0
 1  0  16468 126040  29488 747992    0    0     0     0 1119  536  0 15 85  0  0
 0  0  16468 126040  29488 747996    0    0     0   120 1325  571  0 16 84  0  0
 0  0  16468 126040  29496 748000    0    0     0    16 1301  575  1 14 85  0  0
 1  0  16468 126040  29496 748004    0    0     0     0 1511  751  3 20 77  0  0
 0  0  16468 126040  29496 748008    0    0     0     0 1471  710  0 19 81  0  0
 0  0  16468 126040  29496 748016    0    0     0     0 1218  560  0 16 84  0  0
 0  0  16468 126040  29496 748020    0    0     0     0 1128  449  1 22 77  0  0
 0  0  16468 126040  29504 748024    0    0     0    16 1134  392  0 35 65  0  0
 0  0  16468 126040  29504 748028    0    0     0     0  937  357  1 23 76  0  0
 0  0  16468 126040  29504 748032    0    0     0     0 1100  396  1 41 58  0  0
 0  0  16468 126040  29504 748036    0    0     0     0 1101  397  1 37 62  0  0
 0  0  16468 126040  29504 748040    0    0     0     0  962  385  0 31 69  0  0
 1  0  16468 126040  29512 748048    0    0     0    16 1211  393  1 34 65  0  0
 0  0  16468 126040  29512 748052    0    0     0     0 1298  378  1 38 61  0  0
 0  0  16468 126040  29512 748056    0    0     0     0 1036  355  1 28 71  0  0
 1  0  16468 126040  29512 748060    0    0     0     0 1222  364  0 35 65  0  0
 2  0  16468 126040  29512 748064    0    0     0     0 1214  377  0 33 67  0  0
 0  0  16468 126040  29520 748068    0    0     0    16  920  371  1 25 74  0  0
 0  0  16468 126040  29520 748072    0    0     0     0 1010  412  1 35 64  0  0
 1  0  16468 126040  29520 748080    0    0     0     0 1291  348  0 37 63  0  0
 0  0  16468 126040  29520 748084    0    0     0     0 1190  395  0 36 64  0  0
 1  0  16468 126040  29520 748088    0    0     0     0 1139  354  0 27 73  0  0
 0  0  16468 126040  29528 748092    0    0     0    16 1427  437  1 48 51  0  0
 1  0  16468 126040  29528 748096    0    0     0     0 1100  358  1 32 67  0  0
 3  0  16468 126040  29528 748100    0    0     0     0 1038  363  0 25 75  0  0
 0  0  16468 126040  29528 748104    0    0     0     0 1271  399  0 39 61  0  0
 0  0  16468 126040  29528 748108    0    0     0     0 1266  349  0 31 69  0  0
 1  0  16468 126040  29536 748112    0    0     0   160 1195  445  1 33 66  0  0
 0  0  16468 126040  29536 748116    0    0     0     0 1370  432  1 39 60  0  0
 0  0  16468 126040  29536 748120    0    0     0     0 1244  382  0 35 65  0  0
 0  0  16468 126040  29536 748124    0    0     0     0 1197  426  0 33 67  0  0
 0  0  16468 126040  29536 748128    0    0     0     0  953  391  1 24 75  0  0
 0  0  16468 126040  29544 748132    0    0     0    52 1086  437  0 31 69  0  0
 0  0  16468 126040  29544 748140    0    0     0     0 1275  404  0 41 59  0  0
 0  0  16468 126040  29544 748140    0    0     0     0  874  359  0 22 78  0  0
 0  0  16468 126040  29544 748148    0    0     0     0 1031  372  1 34 65  0  0
 1  0  16468 126040  29544 748152    0    0     0     0 1178  439  0 34 66  0  0
