 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0  16468 116608  33036 763084    0    4   302    81  869  437  1 15 83  0  0
 1  0  16468 116608  33036 763088    0    0     0     0  226  517  2  4 94  0  0
 0  0  16468 116608  33036 763088    0    0     0     0 1152  553  1 56 43  0  0
 5  0  16468 116608  33048 763088    0    0     0   124 1385  607  1 51 48  0  0
 0  0  16468 116608  33048 763108    0    0     0     0 1154  856  2 60 38  0  0
 0  0  16468 116608  33048 763116    0    0     0     0 1352  745  2 16 82  0  0
 0  0  16468 116608  33048 763124    0    0     0     0 1910  916  3 27 70  0  0
 0  0  16468 116608  33048 763128    0    0     0     0 1779 1059  2 29 69  0  0
 0  0  16468 116608  33056 763140    0    0     0    16 1926  947  1 26 72  1  0
 0  0  16468 116608  33056 763148    0    0     0     0 2192 1056  2 34 64  0  0
 0  0  16468 116608  33056 763156    0    0     0     0 2013  990  1 31 68  0  0
 1  0  16468 116608  33056 763164    0    0     0     0 2080 1010  1 32 67  0  0
 0  0  16468 116608  33056 763168    0    0     0     0 1750  679  2 22 76  0  0
 0  0  16468 116608  33064 763176    0    0     0    16 1261  702  0 15 85  0  0
 0  0  16468 116608  33064 763184    0    0     0     0 1459  629  2 20 78  0  0
 0  0  16468 116608  33064 763184    0    0     0     0 1555  943  2 22 76  0  0
 1  0  16468 116608  33064 763192    0    0     0  1096 1667  798  0 25 75  0  0
 0  0  16468 116608  33064 763200    0    0     0     0 1561  721  0 23 77  0  0
 1  0  16468 116608  33072 763200    0    0     0    60 1632  778  1 28 71  0  0
 0  0  16468 116608  33072 763212    0    0     0     0 1371  603  1 20 79  0  0
 0  0  16468 116608  33072 763220    0    0     0     0 2172  962  1 35 64  0  0
 0  0  16468 116608  33072 763228    0    0     0     0 1594  863  1 25 74  0  0
 1  0  16468 116608  33072 763232    0    0     0     0 1578  719  0 25 75  0  0
 0  0  16468 116608  33072 763240    0    0     0     0 1950  841  1 28 71  0  0
 1  0  16468 116608  33080 763248    0    0     0    16 1575  787  1 24 75  0  0
 0  0  16468 116608  33080 763248    0    0     0     0 1352  664  1 14 85  0  0
 2  0  16468 116608  33080 763260    0    0     0     0 1626  723  0 24 76  0  0
 0  0  16468 116608  33080 763260    0    0     0     0 1557  762  1 24 75  0  0
 1  0  16468 116608  33080 763272    0    0     0     0 1987  846  1 29 70  0  0
 0  0  16468 116608  33088 763280    0    0     0    16 1881  885  1 28 71  0  0
 1  0  16468 116608  33088 763284    0    0     0     0 1587  686  2 22 76  0  0
 0  0  16468 116608  33088 763292    0    0     0     0 2062  893  0 31 69  0  0
 0  0  16468 116608  33088 763292    0    0     0   644 2027  871  1 27 72  0  0
 0  0  16468 116608  33088 763304    0    0     0     0 1749  851  0 27 73  0  0
 1  0  16468 116608  33096 763316    0    0     0    44 1585  666  1 22 77  0  0
 0  0  16468 116608  33096 763316    0    0     0     0 1392  616  0 19 81  0  0
 0  0  16468 116608  33096 763328    0    0     0     0 1239  599  2 18 80  0  0
 1  0  16468 116608  33096 763332    0    0     0     0 1124  607  2 16 82  0  0
 0  0  16468 116608  33096 763336    0    0     0     0 1505  742  1 21 78  0  0
 0  0  16468 116608  33104 763348    0    0     0    16 1340  624  1 19 80  0  0
 0  0  16468 116608  33104 763352    0    0     0     0 1192  573  1 18 81  0  0
 0  0  16468 116608  33104 763360    0    0     0     0 1582  766  1 23 76  0  0
 1  0  16468 116608  33104 763360    0    0     0     0 1326  559  0 46 54  0  0
 0  0  16468 116608  33104 763372    0    0     0     0 1519  473  2 54 44  0  0
 0  0  16468 116608  33112 763380    0    0     0    16 1221  489  0 54 46  0  0
 0  0  16468 116608  33128 763388    0    0     0    96 1315  466  1 40 59  0  0
 4  0  16468 116608  33128 763396    0    0     0     0 1197  587  1 70 29  0  0
 0  0  16468 116608  33128 763396    0    0     0     0 1164  476  0 46 54  0  0
 1  0  16468 116608  33128 763408    0    0     0     0 1078  560  1 63 36  0  0
 0  0  16468 116608  33128 763420    0    0     0     0 1243  521  1 53 46  0  0
 2  0  16468 116608  33136 763424    0    0     0    52 1426  479  0 46 54  0  0
 0  0  16468 116608  33136 763428    0    0     0     0 1049  463  2 39 59  0  0
 1  0  16468 116608  33136 763436    0    0     0    76 1210  522  1 58 41  0  0
 0  0  16468 116608  33136 763440    0    0     0     0 1311  464  1 43 56  0  0
 2  0  16468 116608  33136 763448    0    0     0     0 1458  501  1 56 43  0  0
 0  0  16468 116608  33144 763456    0    0     0    16 1424  476  1 48 51  0  0
 3  0  16468 116608  33144 763464    0    0     0     0 1318  542  0 62 38  0  0
 0  0  16468 116608  33144 763468    0    0     0     0 1086  447  1 39 60  0  0
 0  0  16468 116608  33144 763476    0    0     0     0 1375  437  0 38 62  0  0
 0  0  16468 116608  33144 763480    0    0     0     0 1254  426  1 37 62  0  0
 0  0  16468 116608  33152 763488    0    0     0    16 1156  608  1 69 30  0  0
 2  0  16468 116608  33152 763492    0    0     0     0 1457  427  0 40 60  0  0
 2  0  16468 116608  33152 763500    0    0     0   200 1355  512  1 52 47  0  0
 0  0  16468 116608  33152 763508    0    0     0     0 1268  500  1 48 51  0  0
 0  0  16468 116608  33152 763508    0    0     0     0 1587  530  0 59 41  0  0
 0  0  16468 116608  33160 763520    0    0     0    28 1309  473  0 36 64  0  0
 1  0  16468 116608  33160 763528    0    0     0     0 1548  486  2 50 48  0  0
 0  0  16468 116608  33160 763532    0    0     0     8 1266  467  0 42 58  0  0
 0  0  16468 116608  33160 763540    0    0     0     0 1498  580  1 60 39  0  0
 0  0  16468 116608  33160 763548    0    0     0     0 1256  457  1 40 59  0  0
 2  0  16468 116608  33168 763552    0    0     0    24 1528  605  0 72 28  0  0
 0  0  16468 116608  33168 763556    0    0     0     0 1217  460  1 40 59  0  0
