 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  16468  89784  36792 774296    0    0     0     0 1311  422  1 39 60  0  0
 1  0  16468  89784  36792 774304    0    0     0     0 1284  426  0 40 60  0  0
 0  0  16468  89784  36792 774308    0    0     0     0 1289  424  1 43 56  0  0
 1  0  16468  89784  36800 774312    0    0     0    16 1278  433  0 37 63  0  0
 0  0  16468  89784  36800 774320    0    0     0     0 1218  430  1 37 62  0  0
 0  0  16468  89784  36800 774324    0    0     0     0 1110  382  1 31 68  0  0
 0  0  16468  89784  36800 774328    0    0     0     0 1304  450  1 43 56  0  0
 0  0  16468  89784  36800 774332    0    0     0     0 1575  424  1 55 44  0  0
 0  0  16468  89784  36808 774344    0    0     0    16 1219  497  1 54 45  0  0
 2  0  16468  89784  36808 774348    0    0     0     0 1095  423  1 36 63  0  0
 0  0  16468  89784  36808 774352    0    0     0     0 1044  431  1 32 67  0  0
 1  0  16468  89784  36808 774360    0    0     0     0 1569  446  0 53 47  0  0
 0  0  16468  89784  36808 774364    0    0     0     0 1174  459  0 48 52  0  0
 1  0  16468  89784  36816 774372    0    0     0    16 1248  441  0 35 65  0  0
 0  0  16468  89784  36816 774376    0    0     0     0 1402  451  1 50 49  0  0
 0  0  16468  89784  36816 774380    0    0     0     0 1254  439  1 39 60  0  0
 0  0  16468  89784  36816 774388    0    0     0   196 1371  471  2 47 51  0  0
 0  0  16468  89784  36816 774392    0    0     0     0 1311  444  1 45 54  0  0
 1  0  16468  89784  36824 774396    0    0     0    28 1441  477  0 49 51  0  0
 0  0  16468  89784  36824 774404    0    0     0     0 1442  453  1 49 50  0  0
 0  0  16468  89784  36824 774408    0    0     0     0 1307  418  0 40 60  0  0
 2  0  16468  89784  36824 774416    0    0     0     0 1407  442  1 48 51  0  0
 0  0  16468  89784  36824 774424    0    0     0     0 1535  444  1 52 47  0  0
 4  0  16468  89784  36832 774428    0    0     0    16 1426  436  0 44 56  0  0
 0  0  16468  89784  36832 774432    0    0     0     0 1173  433  1 41 58  0  0
 0  0  16468  89784  36832 774440    0    0     0     0 1226  438  1 45 54  0  0
 1  0  16468  89784  36832 774444    0    0     0     0 1398  429  0 43 57  0  0
 1  0  16468  89784  36832 774448    0    0     0     0 1339  408  1 39 60  0  0
 0  0  16468  89784  36840 774456    0    0     0    16 1268  454  1 40 59  0  0
 2  0  16468  89784  36840 774460    0    0     0     0 1064  410  0 32 68  0  0
 0  0  16468  89784  36840 774468    0    0     0     0 1448  492  1 56 43  0  0
 0  0  16468  89784  36840 774476    0    0     0     0 1048  392  0 31 69  0  0
 2  0  16468  89784  36840 774480    0    0     0     0 1283  428  1 37 62  0  0
 1  0  16468  89784  36848 774484    0    0     0    16 1468  456  2 49 50  0  0
 0  0  16468  89784  36848 774492    0    0     0     0 1248  434  0 44 56  0  0
 0  0  16468  89784  36848 774496    0    0     0     0 1424  454  0 44 56  0  0
 1  0  16468  89784  36848 774500    0    0     0     0 1308  430  1 43 56  0  0
 0  0  16468  89784  36848 774508    0    0     0     0 1155  396  1 34 65  0  0
 2  0  16468  89784  36856 774512    0    0     0    16 1149  466  0 36 64  0  0
 1  0  16468  89784  36856 774516    0    0     0     0 1235  438  0 46 54  0  0
 0  0  16468  89784  36856 774524    0    0     0     0 1208  436  0 38 62  0  0
 1  0  16468  89784  36856 774528    0    0     0     0 1401  399  2 43 55  0  0
 3  0  16468  89784  36856 774532    0    0     0     0 1396  460  0 46 54  0  0
 1  0  16468  89784  36864 774540    0    0     0    16 1287  448  1 41 58  0  0
 0  0  16468  89784  36872 774544    0    0     0    48 1307  490  0 38 62  0  0
 1  0  16468  89784  36872 774548    0    0     0     0 1340  550  3 43 54  0  0
 0  0  16468  89784  36872 774556    0    0     0   168 1237  467  1 40 59  0  0
 1  0  16468  89784  36872 774560    0    0     0     0 1684  519  1 54 45  0  0
 0  0  16468  89784  36872 774564    0    0     0     0 1339  465  0 43 57  0  0
 0  0  16468  89784  36880 774576    0    0     0    60 1269  452  1 42 57  0  0
 0  0  16468  89784  36880 774580    0    0     0     0 1455  479  1 52 47  0  0
 1  0  16468  89784  36880 774584    0    0     0    44 1434  465  0 50 50  0  0
 0  0  16468  89784  36880 774592    0    0     0     0 1422  505  0 48 52  0  0
 0  0  16468  89784  36880 774596    0    0     0     0 1126  424  0 35 65  0  0
 1  0  16468  89784  36888 774592    0    0     0    24 1328  480  1 42 57  0  0
 0  0  16468  89784  36888 774608    0    0     0     0 1257  435  1 42 57  0  0
 0  0  16468  89784  36888 774612    0    0     0     0 1222  474  1 39 60  0  0
 1  0  16468  89784  36888 774616    0    0     0     0 1398  444  1 51 48  0  0
 0  0  16468  89784  36888 774624    0    0     0     0 1261  432  2 37 61  0  0
 1  0  16468  89784  36896 774628    0    0     0    16 1262  443  0 44 56  0  0
 1  0  16468  89784  36896 774632    0    0     0     0 1401  435  0 43 57  0  0
 0  0  16468  89784  36896 774640    0    0     0     0 1241  410  2 39 59  0  0
 1  0  16468  89784  36896 774644    0    0     0     0 1234  438  0 39 61  0  0
 0  0  16468  89784  36896 774648    0    0     0     0 1441  447  0 51 49  0  0
 1  0  16468  89784  36904 774656    0    0     0    16 1264  463  2 40 58  0  0
 1  0  16468  89784  36904 774660    0    0     0     0 1132  385  1 37 62  0  0
 0  0  16468  89784  36904 774664    0    0     0     0 1104  429  1 31 68  0  0
 0  0  16468  89784  36904 774672    0    0     0     0  915  382  0 25 75  0  0
 0  0  16468  89784  36904 774676    0    0     0     0 1458  459  1 55 44  0  0
 0  0  16468  89784  36912 774680    0    0     0    16 1094  417  0 28 72  0  0
 1  0  16468  89784  36912 774688    0    0     0     0 1460  463  0 51 49  0  0
 2  0  16468  89784  36912 774696    0    0     0     0 1400  463  1 52 47  0  0
 0  0  16468  89784  36912 774700    0    0     0     0 1118  417  0 36 64  0  0
 0  0  16468  89784  36912 774708    0    0     0     0 1472  446  1 50 49  0  0
 0  0  16468  89784  36920 774708    0    0     0    16 1019  431  1 27 72  0  0
 1  0  16468  89784  36920 774720    0    0     0     0 1451  442  0 49 51  0  0
 0  0  16468  89784  36920 774728    0    0     0     0 1521  482  1 53 46  0  0
 1  0  16468  89784  36920 774732    0    0     0   164 1175  393  0 36 64  0  0
 1  0  16468  89784  36920 774736    0    0     0     0 1329  467  0 43 57  0  0
 1  0  16468  89784  36928 774744    0    0     0    28 1472  429  0 46 54  0  0
 1  0  16468  89784  36928 774748    0    0     0     0 1349  479  1 52 47  0  0
 0  0  16468  89784  36928 774756    0    0     0     0 1203  427  0 34 66  0  0
 0  0  16468  89784  36928 774760    0    0     0     8 1267  436  1 39 60  0  0
 1  0  16468  89784  36928 774764    0    0     0     0 1273  448  0 42 58  0  0
 0  0  16468  89784  36936 774772    0    0     0    24 1378  452  1 43 56  0  0
 1  0  16468  89784  36936 774776    0    0     0     0 1185  374  0 33 67  0  0
 1  0  16468  89784  36936 774780    0    0     0     0  811  417  1 19 80  0  0
 0  0  16468  89784  36936 774784    0    0     0    20 1349  445  0 46 54  0  0
 0  0  16468  89784  36936 774792    0    0     0     0 1391  465  1 47 52  0  0
 0  0  16468  89784  36944 774788    0    0     0    16 1175  438  1 37 62  0  0
 0  0  16468  89784  36944 774800    0    0     0     0 1049  437  0 32 68  0  0
 2  0  16468  89784  36944 774808    0    0     0     0 1249  417  0 36 64  0  0
 2  0  16468  89784  36944 774812    0    0     0     0 1044  433  0 32 68  0  0
 2  0  16468  89784  36944 774816    0    0     0     0 1457  424  0 45 55  0  0
 0  0  16468  89784  36952 774816    0    0     0    16 1325  482  1 45 54  0  0
 1  0  16468  89784  36952 774828    0    0     0     0 1614  507  1 60 39  0  0
 4  0  16468  89784  36952 774836    0    0     0     0 1312  439  0 54 46  0  0
 0  0  16468  89784  36952 774844    0    0     0     0 1285  438  1 45 54  0  0
 2  0  16468  89784  36952 774848    0    0     0     0 1546  463  0 52 48  0  0
 0  0  16468  89784  36960 774844    0    0     0    16 1201  454  0 35 65  0  0
 0  0  16468  89784  36960 774860    0    0     0     0 1174  431  0 36 64  0  0
 3  0  16468  89784  36960 774864    0    0     0     0 1320  413  0 41 59  0  0
 1  0  16468  89784  36960 774868    0    0     0     0 1349  506  2 53 45  0  0
 0  0  16468  89784  36960 774876    0    0     0     0 1148  407  0 35 65  0  0
 2  0  16468  89784  36960 774880    0    0     0     0 1507  456  1 47 52  0  0
 0  0  16468  89784  36968 774884    0    0     0    16 1344  526  2 47 51  0  0
