File,CTT,Fairness
1000CTT_1.csv,1000,0.9994425758569269
1000CTT_2.csv,1000,0.99829317437927
1000CTT_3.csv,1000,0.9981179662615407
12000CTT_1.csv,12000,0.9998878449632579
12000CTT_2.csv,12000,0.9999028353833673
12000CTT_3.csv,12000,0.9997851903970587
2000CTT_1.csv,2000,0.9996137987824602
2000CTT_2.csv,2000,0.9991699692046576
2000CTT_3.csv,2000,0.9997618680930423
3000CTT_1.csv,3000,0.9998658960168885
3000CTT_2.csv,3000,0.999454138014877
3000CTT_3.csv,3000,0.9998057491820876
4000CTT_1.csv,4000,0.9996338927395644
4000CTT_2.csv,4000,0.9998095542161893
4000CTT_3.csv,4000,0.9997696638152461
4500CTT_1.csv,4500,0.9996714652401266
4500CTT_2.csv,4500,0.9993462506950991
4500CTT_3.csv,4500,0.9998607436631121
5000CTT_1.csv,5000,0.9999069984646365
5000CTT_2.csv,5000,0.9997421092962665
5000CTT_3.csv,5000,0.999950667165422
6000CTT_1.csv,6000,0.9998911862756376
6000CTT_2.csv,6000,0.9995543498596017
6000CTT_3.csv,6000,0.9998686877132021
6500CTT_1.csv,6500,0.9999820026439199
6500CTT_2.csv,6500,0.9999768361845707
6500CTT_3.csv,6500,0.9998876231738034
7000CTT_1.csv,7000,0.999832993765903
7000CTT_2.csv,7000,0.9999831989305835
7000CTT_3.csv,7000,0.9998572548135961
8000CTT_1.csv,8000,0.9997702356495677
8000CTT_2.csv,8000,0.9998406679074479
8000CTT_3.csv,8000,0.9998723499283105
9000CTT_1.csv,9000,0.999928731374195
9000CTT_2.csv,9000,0.999881799105518
9000CTT_3.csv,9000,0.9998589711406497
