,File,Duration,Numero Richieste Valide,Throughtput,ResponseTime,Power
0,1000CTT_1.csv,300.001,5099,16.996610011299964,9.174740145126496,1.852544022222618
1,1000CTT_2.csv,300.0,5099,16.996666666666666,12.506373798784075,1.3590403533531963
2,1000CTT_3.csv,300.018,5100,16.99898006119633,8.138039215686275,2.088829951621561
3,1500CTT_1.csv,300.02,7601,25.334977668155457,15.708722536508354,1.612796814589786
4,1500CTT_2.csv,300.02,7599,25.32831144590361,16.000921173838663,1.5829283308585465
5,1500CTT_3.csv,300.031,7599,25.327382837106832,15.256086327148308,1.660149418008771
6,2000CTT_1.csv,300.022,10099,33.66086486990954,13.795524309337559,2.439984455474885
7,2000CTT_2.csv,300.014,10101,33.66842880665569,15.138105138105137,2.2240847516580287
8,2000CTT_3.csv,300.021,10099,33.660977064938784,11.353896425388653,2.964707075332206
9,2500CTT_1.csv,300.037,12600,41.994820638787886,15.653809523809525,2.682722092338836
10,2500CTT_2.csv,300.003,12600,41.99958000419996,15.667222222222222,2.6807291942682863
11,2500CTT_3.csv,300.027,12600,41.99622034016939,16.04698412698413,2.6170786988908277
12,3000CTT_1.csv,300.041,15096,50.31312387307068,9.326179120296768,5.394827101655503
13,3000CTT_2.csv,300.021,15096,50.31647784655074,17.42196608373079,2.888105602130516
14,3000CTT_3.csv,300.021,15100,50.32981024661607,17.415761589403974,2.889900047623385
15,3500CTT_1.csv,300.03,17601,58.66413358664134,17.194875291176636,3.4117219574569524
16,3500CTT_2.csv,300.016,17600,58.66353794464295,28.56625,2.0535960423451782
17,3500CTT_3.csv,299.993,17041,56.80465877537143,143.7532097833033,0.39515402028935565
18,4000CTT_1.csv,299.897,19386,64.64219381987816,161.80320261104595,0.3995112134786953
19,4000CTT_2.csv,300.03,18506,61.68049861680499,282.1681236673774,0.21859484981909075
20,4000CTT_3.csv,300.014,17335,57.78063690361116,333.3270295977172,0.1733451888775565
