(PDH-CSV 4.0) (ora solare Europa occidentale)(-60),Disco fisico/% Tempo disco,Disco fisico/% Tempo inattivit�,Disco fisico/% Tempo lettura disco,Disco fisico/% Tempo scrittura disco,Disco fisico/Letture sec,Disco fisico/Scritture sec,Disco fisico/Suddivisione sec,Disco fisico/Trasferimenti sec,% Byte vincolati in uso,Errore di richiesta sec,Errori sec,Errori di sec,Errori in sec,Input sec,Letture sec,MByte disponibili,Output sec,sec,Scritture in sec,Scritture sec,Processore/% Tempo di interrupt,Processore/% Tempo DPC,Processore/% Tempo inattivit�,Processore/% Tempo privilegiato,Processore/% Tempo processore,Processore/% Tempo utente,Processore/sec
11/29/2023 18:05:30.362,9.715336188531932,91.50193875546228,9.709361441993128,0.0059747465388044,430.2654279537473,1.9919695738599408,0.0,432.2573975276072,61.17422526263962,58567.88941062999,3667.215985476152,61931.330036092506,14887.9805950292,2087.5841134052184,503.9683021865652,7135,0.0,2087.5841134052184,0.0,0.0,0.0,0.0,84.50512219999726,0.972459704566708,8.395006824654239,6.904417100242405,15663.852744047648
11/29/2023 18:05:31.366,3.9508145838065967,96.0237610917846,3.807207965199933,0.1436066186066634,325.5290319632676,28.86954717717052,0.0,354.39857914043813,64.97731403563574,247678.81374433349,43616.908276570655,253884.77088579835,11398.49362684836,2068.652380488288,368.3356019156239,6471,0.0,2068.652380488288,4.977508133994918,0.0,0.0,0.0,72.97318659562721,2.9164109136251883,12.021375147354563,9.818607300504164,41028.604046893306
11/29/2023 18:05:32.358,4.138134747411612,95.8968374784511,4.019285635075056,0.1188491123365559,313.51751428798104,27.218562333683245,0.0,340.7360766216643,66.19615875328802,155719.41130080432,12582.032462470392,117579.14880700536,6428.621185255483,1396.2114382278255,372.9951134615852,6230,0.0,1396.2114382278255,0.0,0.0,0.0,0.0,68.389946871251,3.938029901303519,15.233907634611308,11.1249281703346,84810.01594705325
11/29/2023 18:05:33.373,3.23706563402248,96.92003789164428,3.0928586664328406,0.1442069675896392,244.3097500868876,22.657759080638765,0.0,266.9675091675263,69.75419723190232,323810.90110104886,4794.578845455168,253292.0738824208,5582.674813477387,1243.2213895550487,273.86334888772075,5384,0.0,1243.2213895550487,0.0,0.0,0.0,0.0,48.695935318194735,3.55988352703622,36.30692428912526,35.31021443852928,36964.6562601221
11/29/2023 18:05:34.368,4.22127840049688,95.90101195064568,3.926899153675997,0.294379246820883,211.0831308694303,73.37651692127814,0.0,284.45964779070846,68.28100280097709,225518.2015476012,2399.3115875491912,202703.13057391392,4065.8631636516457,886.5491496516072,222.13986629592424,5648,0.0,886.5491496516072,0.0,0.0,0.0981398158207614,0.0981498659811117,38.196307772090506,3.9258438868392145,49.2584690188732,42.79169334146727,36131.401058250194
11/29/2023 18:05:35.368,1.6909264019860992,98.28641337820976,1.638525893701169,0.0524005082849303,136.00171362159165,22.000277203492764,0.0,158.0019908250844,70.01065881224598,139077.75237968,2365.029799375472,123740.55913104504,6344.079935407186,573.0072198909705,148.0018648234968,5315,0.0,573.0072198909705,0.0,0.0,0.0,0.0,16.691941911836544,5.957097783848504,77.92947591591638,71.97335814157397,48177.60703784868
11/29/2023 18:05:36.362,5.695713458897815,94.50269662462416,5.551709710011621,0.1440037488861942,168.01737883230538,30.182762664485995,0.0,198.20014149679136,70.09708661821136,65631.41132183599,5852.437680643834,71622.68971073645,6255.88060825913,3707.4493472876966,169.02347092112157,5238,0.0,3707.4493472876966,3.0182762664486,0.0,0.3929871763826608,0.1964885580198589,5.746206320128764,3.2420964185279724,90.1754413145488,86.45607216646165,49866.954382174954
11/29/2023 18:05:37.364,0.1126747679721647,99.86295880165895,0.0511295588068318,0.0615452091653329,0.9986326721452986,4.993163360726493,0.0,5.991796032871792,69.44664210766709,8748.022207992813,2341.7936161807247,13288.804968237488,3025.856996600254,31.956245508649555,0.9986326721452986,5344,0.0,31.956245508649555,0.0,0.0,0.0,0.0975256389272499,0.0,1.1702677221591813,100.0,98.49711053082169,49343.43896337135
11/29/2023 18:05:38.363,0.3472728318581857,99.6005071940017,0.2235955252884228,0.1236773065697629,1.00040376295873,10.0040376295873,0.0,11.004441392546031,69.46339525037058,6227.5134244180945,2319.936326301295,10660.302498088227,2718.0970239588696,0.0,0.0,5344,0.0,0.0,0.0,0.0,0.0976873654172721,0.0,0.0,2.051564723506741,100.0,97.88900254347288,49498.977787435
11/29/2023 18:05:39.351,1.8630319322652416,134.11961533472183,1.4354921699736631,0.4275397622915782,130.63285847782947,25.31644544143982,0.0,155.9493039192693,69.2556491282898,8504.300352688468,4987.339751963645,17895.68895364498,5069.36503519391,2256.201617741117,127.5948850248567,5381,0.0,2256.201617741117,15.189867264863892,0.0,0.0,0.0,0.0,2.6701310832313654,100.0,97.90476250272029,50381.75174410056
11/29/2023 18:05:40.357,0.3876143526455618,99.7238369506796,0.0403081551002142,0.3473061975453476,2.982107652296984,8.94632295689095,0.0,11.928430609187934,69.23256029124198,3950.298603409404,2306.1632511096673,7665.010702287345,2008.946521764068,13.916502377385923,2.982107652296984,5385,0.0,13.916502377385923,0.0,0.0,0.1941550888822155,0.1941451485233746,0.0,1.941471365951428,100.0,97.36503949950689,49911.53577649461
11/29/2023 18:05:41.358,0.2277509629855999,99.74303739190445,0.0,0.2277509629855999,0.0,11.98436519716378,0.0,11.98436519716378,69.24466373614145,5305.078993944499,2309.9863917533185,8256.22892374608,1393.1824541702892,0.0,0.0,5380,0.0,0.0,0.0,0.0,0.195053894236867,0.0975219536748249,0.0,2.048090856705146,100.0,98.11336714893343,49430.51295280177
