"(PDH-CSV 4.0) (ora solare Europa occidentale)(-60)","\\CLAUDIO\Disco fisico(_Total)\% Tempo disco","\\CLAUDIO\Disco fisico(_Total)\% Tempo inattività","\\CLAUDIO\Disco fisico(_Total)\% Tempo lettura disco","\\CLAUDIO\Disco fisico(_Total)\% Tempo scrittura disco","\\CLAUDIO\Disco fisico(_Total)\Letture disco/sec","\\CLAUDIO\Disco fisico(_Total)\Scritture disco/sec","\\CLAUDIO\Disco fisico(_Total)\Suddivisione IO/sec","\\CLAUDIO\Disco fisico(_Total)\Trasferimenti disco/sec","\\CLAUDIO\Memoria\% Byte vincolati in uso","\\CLAUDIO\Memoria\Errore di richiesta nulla/sec","\\CLAUDIO\Memoria\Errori cache/sec","\\CLAUDIO\Memoria\Errori di pagina/sec","\\CLAUDIO\Memoria\Errori in transizione/sec","\\CLAUDIO\Memoria\Input pagine/sec","\\CLAUDIO\Memoria\Letture pagine/sec","\\CLAUDIO\Memoria\MByte disponibili","\\CLAUDIO\Memoria\Output pagine/sec","\\CLAUDIO\Memoria\Pagine/sec","\\CLAUDIO\Memoria\Scritture in copia/sec","\\CLAUDIO\Memoria\Scritture pagine/sec","\\CLAUDIO\Processore(_Total)\% Tempo di interrupt","\\CLAUDIO\Processore(_Total)\% Tempo DPC","\\CLAUDIO\Processore(_Total)\% Tempo inattività","\\CLAUDIO\Processore(_Total)\% Tempo privilegiato","\\CLAUDIO\Processore(_Total)\% Tempo processore","\\CLAUDIO\Processore(_Total)\% Tempo utente","\\CLAUDIO\Processore(_Total)\Interrupt/sec"
"11/29/2023 18:05:29.358"," "," "," "," "," "," "," "," ","61.021157577871612432"," "," "," "," "," "," ","7160"," "," "," "," "," "," "," "," "," "," "," "
"11/29/2023 18:05:30.362","9.7153361885319320379","91.501938755462290942","9.7093614419931277837","0.0059747465388044354931","430.26542795374729167","1.9919695738599412227","0","432.25739752760722467","61.174225262639623679","58567.889410629992199","3667.2159854761516726","61931.330036092505907","14887.98059502920114","2087.5841134052184316","503.96830218656515399","7135","0","2087.5841134052184316","0","0","0","0","84.505122199997273924","0.97245970456670793869","8.3950068246542386419","6.9044171002424050698","15663.85274404764823"
"11/29/2023 18:05:31.366","3.9508145838065966693","96.023761091784592736","3.8072079651999333194","0.14360661860666340539","325.52903196326758462","28.869547177170520769","0","354.39857914043813025","64.977314035635743039","247678.81374433348537","43616.908276570662565","253884.77088579835254","11398.493626848359781","2068.6523804882876902","368.33560191562389718","6471","0","2068.6523804882876902","4.9775081339949176495","0","0","0","72.973186595627211659","2.9164109136251883392","12.02137514735456314","9.8186073005041656359","41028.604046893306077"
"11/29/2023 18:05:32.358","4.1381347474116116913","95.896837478451104175","4.0192856350750556516","0.11884911233655599816","313.51751428798104371","27.218562333683244958","0","340.73607662166432419","66.196158753288017351","155719.41130080432049","12582.032462470391692","117579.14880700537469","6428.6211852554833968","1396.2114382278257381","372.99511346158521974","6230","0","1396.2114382278257381","0","0","0","0","68.389946871250998583","3.9380299013035191535","15.233907634611309589","11.124928170334600352","84810.015947053252603"
"11/29/2023 18:05:33.373","3.2370656340224797098","96.9200378916442844","3.0928586664328405753","0.1442069675896392178","244.30975008688756134","22.657759080638765425","0","266.96750916752631611","69.754197231902324461","323810.90110104886116","4794.5788454551684481","253292.07388242080924","5582.6748134773870333","1243.2213895550489724","273.86334888772074692","5384","0","1243.2213895550489724","0","0","0","0","48.695935318194742081","3.55988352703622013","36.306924289125262817","35.31021443852927888","36964.656260122108506"
"11/29/2023 18:05:34.368","4.2212784004968799678","95.901011950645681736","3.9268991536759965122","0.29437924682088306705","211.08313086943030612","73.37651692127815295","0","284.45964779070845907","68.281002800977091738","225518.20154760120204","2399.3115875491912448","202703.13057391392067","4065.8631636516456638","886.54914965160719476","222.13986629592426425","5648","0","886.54914965160719476","0","0","0.098139815820761422405","0.098149865981111736324","38.196307772090506205","3.9258438868392140364","49.25846901887319973","42.791693341467265554","36131.401058250194183"
"11/29/2023 18:05:35.368","1.6909264019860992256","98.286413378209772418","1.6385258937011690783","0.052400508284930362446","136.00171362159164801","22.0002772034927645","0","158.00199082508439119","70.010658812245978311","139077.75237967999419","2365.0297993754720665","123740.55913104505453","6344.0799354071859852","573.00721989097064579","148.0018648234967884","5315","0","573.00721989097064579","0","0","0","0","16.691941911836543966","5.957097783848503525","77.929475915916384565","71.973358141573967828","48177.607037848676555"
"11/29/2023 18:05:36.362","5.6957134588978153289","94.502696624624164201","5.5517097100116208352","0.14400374888619427161","168.01737883230538273","30.18276266448599543","0","198.20014149679138882","70.097086618211363884","65631.411321835985291","5852.4376806438349377","71622.689710736449342","6255.880608259130895","3707.4493472876965825","169.02347092112157156","5238","0","3707.4493472876965825","3.0182762664485998094","0","0.39298717638266084107","0.19648855801985892766","5.7462063201287643111","3.2420964185279723679","90.175441314548805849","86.456072166461652273","49866.954382174946659"
"11/29/2023 18:05:37.364","0.1126747679721647466","99.862958801658948005","0.051129558806831829076","0.061545209165332917522","0.99863267214529860549","4.9931633607264931385","0","5.9917960328717914109","69.446642107667088339","8748.0222079928153107","2341.7936161807251665","13288.804968237487628","3025.8569966002546607","31.956245508649555376","0.99863267214529860549","5344","0","31.956245508649555376","0","0","0","0.097525638927249927446","0","1.1702677221591812895","100","98.497110530821686325","49343.438963371350837"
"11/29/2023 18:05:38.363","0.34727283185818574873","99.600507194001707489","0.22359552528842283059","0.1236773065697629459","1.000403762958730125","10.004037629587301694","0","11.004441392546031153","69.46339525037058138","6227.5134244180944734","2319.9363263012951393","10660.302498088227367","2718.0970239588696131","0","0","5344","0","0","0","0","0.097687365417272103985","0","0","2.0515647235067415721","100","97.889002543472884099","49498.977787435003847"
"11/29/2023 18:05:39.351","1.8630319322652417746","134.1196153347218285","1.4354921699736633567","0.4275397622915782514","130.63285847782947258","25.316445441439821451","0","155.94930391926931179","69.255649128289803684","8504.300352688465864","4987.3397519636446305","17895.688953644981666","5069.3650351939104439","2256.2016177411169338","127.59488502485670836","5381","0","2256.2016177411169338","15.189867264863893936","0","0","0","0","2.6701310832313658317","100","97.904762502720288353","50381.751744100562064"
"11/29/2023 18:05:40.357","0.38761435264556187708","99.723836950679611846","0.040308155100214224098","0.3473061975453476391","2.982107652296983602","8.946322956890950806","0","11.928430609187934408","69.232560291241981076","3950.2986034094042225","2306.1632511096672715","7665.0107022873462483","2008.9465217640679384","13.916502377385922884","2.982107652296983602","5385","0","13.916502377385922884","0","0","0.19415508888221558181","0.19414514852337461104","0","1.9414713659514279964","100","97.365039499506906395","49911.535776494609308"
"11/29/2023 18:05:41.358","0.22775096298559990848","99.743037391904437072","0","0.22775096298559990848","0","11.984365197163779015","0","11.984365197163779015","69.24466373614144743","5305.0789939444994161","2309.9863917533184576","8256.228923746080909","1393.1824541702892475","0","0","5380","0","0","0","0","0.19505389423686700368","0.097521953674824954361","0","2.0480908567051461233","100","98.113367148933448902","49430.512952801771462"
"11/29/2023 18:05:42.374","0.4852658913186687073","99.493149456638619199","0.37483278784432710884","0.1104331034743415707","37.402465688651240328","19.685508257184864078","0","57.087973945836104406","69.532076052746745631","5758.995440639431763","2295.3302627877551458","12238.480483491830455","4939.0940217276820476","89.569062570191135819","33.465364037214271775","5312","0","89.569062570191135819","0","0","0.096122075626597136555","0.096122075626597136555","0","4.229213847208812993","100","95.733906220641600271","48644.859454329518485"
