r,b,swpd,libero,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st
2,0,25344,94912,37596,953632,0,12,528,505,7972,1507,28,52,20,0,0
6,0,26368,97788,37264,943880,0,832,18664,53960,3442,3140,55,45,0,0,0
10,0,26880,88656,36956,936008,0,628,11396,628,7256,2179,44,56,0,0,0
13,0,28672,95980,36448,924800,0,1688,19012,1688,8705,2318,39,61,0,0,0
31,0,31488,112684,36008,887004,0,2860,10108,5740,7324,2377,45,55,0,0,0
50,0,31488,101104,36648,910188,0,0,11280,308,7821,2478,42,58,0,0,0
25,0,33024,104388,36288,905036,0,1528,24444,20712,8764,1917,37,63,0,0,0
24,0,35072,96812,35280,912816,0,2148,21023,41164,6963,2068,36,64,0,0,0
52,1,38912,91480,34308,923644,0,3876,9556,4044,6584,2487,40,60,0,0,0
22,0,39936,86816,33980,930412,12,916,10176,18868,7659,3450,44,56,0,0,0
36,0,43008,101760,32500,919360,0,3116,11564,3116,6312,2754,44,56,0,0,0
49,0,44288,97808,30928,921012,0,1292,7096,1292,6585,2859,38,62,0,0,0
41,0,46336,97920,30184,929196,0,1920,17564,1920,8636,2527,32,68,0,0,0
52,0,49920,98940,27452,926564,0,3628,17048,85080,7845,2407,37,63,0,0,0
62,0,54272,96176,24992,928468,0,4416,16920,4416,7591,1901,32,68,0,0,0
21,0,60928,90156,22052,922256,0,6584,23760,37608,8259,1747,39,61,0,0,0
33,0,61952,87804,21912,925452,0,1060,13380,1060,6821,2495,48,52,0,0,0
49,0,61952,91348,21292,924568,0,0,0,0,7369,2132,48,52,0,0,0
46,0,61952,87264,21304,928604,0,0,20,136,7552,2007,40,60,0,0,0
27,0,61952,109864,20060,902340,0,0,0,4,7361,1947,47,53,0,0,0
34,0,61952,96640,19984,907456,0,0,4,0,8680,2005,47,53,0,0,0
41,0,61952,90980,19984,913120,0,0,4,0,9772,1942,41,59,0,0,0
28,0,61952,90992,19572,912300,0,0,24,0,7098,2281,42,58,0,0,0
57,0,63488,91616,19172,886508,0,1420,236,62516,7891,2214,45,55,0,0,0
44,0,63488,271496,20356,687340,0,0,1224,0,5395,2763,30,70,0,0,0
40,0,63488,412924,20952,557868,84,0,1620,4240,6701,1794,29,71,0,0,0
24,0,63488,399620,20952,561172,4,0,3368,0,8664,3002,31,69,0,0,0
43,0,63488,381996,21252,613616,28,0,2080,0,6966,2237,47,53,0,0,0
25,0,63488,381712,21300,614864,0,0,1312,0,8819,2603,50,50,0,0,0
28,0,63488,367352,21300,614820,0,0,12,0,9374,1718,46,54,0,0,0
19,0,63488,360616,21308,614908,0,0,84,160,8717,1323,54,46,0,0,0
29,0,63488,354120,21308,614924,0,0,0,8,9453,1690,52,48,0,0,0
38,0,63488,354120,21308,614936,0,0,0,4,7697,1606,60,40,0,0,0
30,0,63488,346924,21308,614992,0,0,0,0,9139,1908,49,51,0,0,0
39,0,63488,346028,21308,614960,0,0,0,0,8530,1614,52,48,0,0,0
51,0,63488,334016,21320,618960,0,0,3996,112,9224,1554,53,47,0,0,0
33,0,63488,317844,21324,621216,0,0,2272,0,9762,1683,40,60,0,0,0
