r,b,swpd,libero,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st
0,0,0,316648,48516,925660,0,0,3319,208,456,2062,24,12,64,0,0
6,0,0,303936,48524,941004,0,0,17032,8,3105,1218,7,36,57,0,0
3,0,0,298420,48524,941020,0,0,0,0,8291,1527,9,73,18,0,0
6,0,0,290328,48524,941020,0,0,0,4,10774,1970,15,77,9,0,0
11,0,0,281072,48532,941024,0,0,0,48,12666,1830,10,87,3,0,0
16,0,0,270516,48532,941044,0,0,0,4,14357,2180,8,92,0,0,0
12,0,0,269116,48532,941056,0,0,0,72,12541,2556,7,93,0,0,0
16,0,0,258460,48532,941068,0,0,0,0,13268,2173,13,87,0,0,0
14,0,0,257956,48532,941084,0,0,0,0,13514,2282,12,88,0,0,0
18,0,0,255688,48540,941088,0,0,0,40,14776,2399,11,89,0,0,0
8,0,0,250940,48540,941108,0,0,0,0,12862,2184,6,92,2,0,0
12,0,0,250184,48540,941120,0,0,0,72,13551,2174,10,90,0,0,0
16,0,0,249932,48540,941132,0,0,0,0,15842,2299,8,92,0,0,0
23,0,0,248812,48540,941144,0,0,0,0,14674,2326,11,89,0,0,0
6,0,0,248812,48548,941152,0,0,0,28,15468,2119,9,91,0,0,0
11,0,0,248560,48548,941176,0,0,0,0,16130,1916,11,89,0,0,0
11,0,0,259448,48548,941188,0,0,0,72,15103,1869,11,89,0,0,0
9,0,0,258468,48548,941204,0,0,0,4,14249,1719,11,87,2,0,0
8,0,0,258468,48548,941216,0,0,0,0,14110,1655,7,91,2,0,0
0,0,0,262604,48556,941224,0,0,0,28,15372,1696,9,85,6,0,0
5,0,0,262136,48556,941256,0,0,0,0,12326,1513,11,74,15,0,0
9,0,0,270944,48556,941268,0,0,0,0,14275,1672,10,84,6,0,0
2,0,0,277984,48556,941280,0,0,0,76,13958,1522,6,85,9,0,0
5,0,0,276540,48556,941292,0,0,0,4,13389,1408,6,78,16,0,0
24,0,0,252080,48564,941300,0,0,0,248,14503,1924,11,89,0,0,0
12,0,0,263256,48564,941320,0,0,0,0,14305,1810,10,90,0,0,0
8,0,0,278808,48564,941336,0,0,0,0,13217,1606,10,80,10,0,0
1,0,0,279080,48564,941352,0,0,0,332,11826,1382,6,71,23,0,0
2,0,0,279080,48564,941364,0,0,0,0,13059,1496,8,72,21,0,0
5,0,0,279080,48572,941376,0,0,0,40,10115,1432,6,63,31,0,0
5,0,0,279080,48572,941392,0,0,0,0,10189,1388,10,57,33,0,0
2,0,0,279080,48572,941404,0,0,0,0,14761,1448,8,84,8,0,0
4,0,0,279080,48572,941420,0,0,0,384,13783,1615,10,82,8,0,0
3,0,0,279080,48572,941432,0,0,0,0,13230,1589,12,79,9,0,0
1,0,0,279060,48580,941444,0,0,0,36,11800,1504,8,72,20,0,0
5,0,0,279092,48580,941472,0,0,0,4,13355,1478,10,75,15,0,0
1,0,0,272580,48580,941476,0,0,0,0,14921,1540,4,90,6,0,0
7,0,0,268996,48580,941492,0,0,0,72,13942,1631,11,86,3,0,0
13,0,0,255540,48580,941504,0,0,0,0,15747,1651,10,89,1,0,0
13,0,0,264500,48588,941508,0,0,0,28,14214,1858,13,86,1,0,0
17,0,0,247456,48588,941532,0,0,0,0,15560,1837,6,94,0,0,0
18,0,0,249192,48588,941544,0,0,0,4,16259,1950,10,90,0,0,0
11,0,0,245144,48588,941556,0,0,0,76,14451,2155,8,92,0,0,0
1,0,0,271976,48588,941572,0,0,0,0,14273,1603,13,81,6,0,0
1,0,0,278700,48596,941580,0,0,0,28,13483,1386,7,74,19,0,0
9,0,0,273084,48596,941604,0,0,0,0,14473,1646,10,83,7,0,0
10,0,0,273068,48596,941620,0,0,0,0,15409,1722,9,88,3,0,0
20,0,0,262020,48596,941632,0,0,0,76,13602,1633,11,88,1,0,0
1,0,0,261556,48596,941644,0,0,0,0,15273,1797,9,90,1,0,0
5,0,0,263204,48604,941656,0,0,0,28,15404,1626,10,87,3,0,0
4,0,0,270276,48604,941680,0,0,0,0,12514,1654,12,82,6,0,0
7,0,0,270068,48604,941692,0,0,0,0,14266,1594,11,86,3,0,0
15,0,0,257732,48604,941704,0,0,0,76,12727,2133,10,89,1,0,0
10,0,0,255420,48604,941704,0,0,0,8,15734,1891,11,87,2,0,0
8,0,0,272536,48612,941712,0,0,0,36,12231,1688,13,82,5,0,0
6,0,0,279940,48612,941740,0,0,0,0,11147,1498,9,75,16,0,0
22,0,0,253476,48612,941752,0,0,0,0,12144,1540,7,89,4,0,0
21,0,0,248548,48612,941764,0,0,0,72,16068,2218,10,90,0,0,0
16,0,0,248548,48612,941776,0,0,0,0,16235,2278,10,90,0,0,0
10,0,0,268780,48620,941784,0,0,0,32,15130,2006,8,92,0,0,0
14,0,0,268296,48620,941808,0,0,0,36,14900,1676,11,87,2,0,0
9,0,0,268056,48620,941820,0,0,0,0,15251,1913,8,92,0,0,0
9,0,0,266488,48620,941832,0,0,0,0,14989,1804,13,86,1,0,0
