r,b,swpd,libero,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st
1,0,256,113160,53424,1066608,0,0,165,36,2470,1339,8,17,75,0,0
0,0,256,113160,53424,1066584,0,0,0,0,516,1640,23,6,71,0,0
2,0,256,113160,53424,1066532,0,0,0,0,164,537,5,1,94,0,0
0,0,256,113160,53424,1066520,0,0,0,0,2635,718,1,22,77,0,0
0,0,256,113160,53424,1066524,0,0,0,20,5699,1079,6,33,61,0,0
0,0,256,113160,53432,1066532,0,0,0,224,6615,1091,5,35,60,0,0
0,0,256,113160,53432,1066536,0,0,0,4,3130,1074,6,24,71,0,0
1,0,256,113160,53432,1066544,0,0,0,0,3740,1045,2,30,68,0,0
2,0,256,113160,53432,1066548,0,0,0,0,3429,839,3,24,73,0,0
1,0,256,113160,53432,1066552,0,0,0,32,7588,1147,6,40,54,0,0
1,0,256,113160,53440,1066556,0,0,0,40,5795,1222,8,36,56,0,0
0,0,256,113160,53440,1066560,0,0,0,0,7174,1542,12,38,51,0,0
0,0,256,113160,53440,1066568,0,0,0,4,7361,1835,6,33,61,0,0
0,0,256,113160,53440,1066572,0,0,0,0,3347,935,5,25,70,0,0
1,0,256,113160,53440,1066572,0,0,0,496,3837,852,1,24,75,0,0
1,0,256,113160,53448,1066588,0,0,0,88,5495,950,4,28,68,0,0
0,0,256,113160,53448,1066592,0,0,0,0,4955,941,5,26,69,0,0
1,0,256,113160,53448,1066584,0,0,0,0,4060,955,4,28,68,0,0
1,0,256,113160,53448,1066592,0,0,0,4,2298,773,3,15,82,0,0
1,0,256,113160,53448,1066596,0,0,0,24,3113,672,2,15,83,0,0
0,0,256,113160,53456,1066592,0,0,0,28,4649,872,2,26,72,0,0
1,0,256,113160,53456,1066604,0,0,0,0,3626,903,7,20,73,0,0
1,0,256,113160,53456,1066608,0,0,0,0,3822,862,4,24,71,0,0
2,0,256,113160,53456,1066612,0,0,0,0,4765,903,4,28,68,0,0
0,0,256,113160,53456,1066616,0,0,0,32,2374,642,2,14,84,0,0
0,0,256,113160,53464,1066616,0,0,0,28,4253,862,5,26,69,0,0
1,0,256,113160,53464,1066628,0,0,0,12,2508,813,6,19,75,0,0
1,0,256,113160,53464,1066632,0,0,0,0,3782,935,4,29,67,0,0
0,0,256,113160,53464,1066640,0,0,0,0,3347,806,5,22,73,0,0
0,0,256,113160,53464,1066640,0,0,0,24,3263,710,4,18,78,0,0
0,0,256,113160,53472,1066648,0,0,0,32,4866,834,5,23,72,0,0
2,0,256,113160,53472,1066648,0,0,0,0,5254,4856,9,29,61,0,0
0,0,256,113160,53472,1066652,0,0,0,0,1989,1658,4,15,81,0,0
0,0,256,113160,53504,1066672,0,0,0,152,3466,1051,6,25,69,0,0
0,0,256,113160,53504,1066672,0,0,0,28,2615,666,3,13,84,0,0
0,0,256,113160,53504,1066680,0,0,0,0,3658,861,6,23,72,0,0
0,0,256,113160,53504,1066684,0,0,0,12,3475,869,5,22,73,0,0
0,0,256,113160,53504,1066676,0,0,0,0,3227,982,4,25,72,0,0
0,0,256,113160,53512,1066680,0,0,0,56,2854,799,5,16,79,0,0
0,0,256,113160,53512,1066684,0,0,0,24,1476,630,2,11,87,0,0
0,0,256,113160,53512,1066688,0,0,0,0,3442,828,6,21,73,0,0
0,0,256,113160,53512,1066692,0,0,0,0,2779,804,6,14,79,0,0
0,0,256,113160,53512,1066696,0,0,0,4,2329,791,5,16,79,0,0
0,0,256,113160,53520,1066700,0,0,0,72,3111,843,5,21,74,0,0
0,0,256,113160,53520,1066704,0,0,0,0,2142,699,4,13,82,0,0
0,0,256,113160,53520,1066712,0,0,0,28,2658,810,5,18,77,0,0
0,0,256,113160,53520,1066712,0,0,0,0,4098,853,7,20,73,0,0
0,0,256,113160,53520,1066720,0,0,0,0,3046,803,7,14,79,0,0
0,0,256,113160,53528,1066728,0,0,0,44,2199,722,5,13,82,0,0
0,0,256,113160,53528,1066736,0,0,0,0,3309,803,4,20,76,0,0
0,0,256,113160,53528,1066736,0,0,0,24,2279,827,3,19,78,0,0
0,0,256,113160,53528,1066744,0,0,0,0,1800,825,5,14,81,0,0
0,0,256,113160,53528,1066748,0,0,0,0,2469,813,5,19,76,0,0
0,0,256,113160,53536,1066752,0,0,0,56,5555,864,4,28,68,0,0
0,0,256,113160,53536,1066756,0,0,0,4,4891,740,3,26,71,0,0
1,0,256,113160,53536,1066760,0,0,0,24,2783,810,3,20,77,0,0
2,0,256,113160,53536,1066764,0,0,0,0,2952,832,6,22,72,0,0
0,0,256,113160,53536,1066768,0,0,0,0,2311,801,5,15,80,0,0
0,0,256,113160,53544,1066772,0,0,0,28,2966,826,5,16,79,0,0
0,0,256,113160,53544,1066776,0,0,0,0,2857,770,3,19,78,0,0
1,0,256,113160,53544,1066780,0,0,0,32,3072,697,5,16,79,0,0
0,0,256,113160,53544,1066784,0,0,0,0,3353,807,6,17,77,0,0
0,0,256,113160,53544,1066788,0,0,0,0,3333,852,4,21,75,0,0
0,0,256,113160,53552,1066796,0,0,0,44,2379,817,5,21,74,0,0
1,0,256,113160,53552,1066796,0,0,0,0,3362,827,3,20,77,0,0
1,0,256,113160,53552,1066804,0,0,0,24,4942,839,5,24,71,0,0
0,0,256,113160,53552,1066804,0,0,0,4,3330,845,7,20,73,0,0
2,0,256,113160,53552,1066812,0,0,0,0,3557,1006,5,25,70,0,0
0,0,256,113160,53560,1066812,0,0,0,28,2493,961,5,18,77,0,0
0,0,256,113160,53560,1066820,0,0,0,0,2797,878,3,17,80,0,0
1,0,256,113160,53560,1066820,0,0,0,28,3990,836,3,21,76,0,0
0,0,256,113160,53560,1066828,0,0,0,0,5464,1140,5,33,62,0,0
0,0,256,113160,53560,1066832,0,0,0,4,3126,969,7,21,72,0,0
3,0,256,113160,53568,1066840,0,0,0,44,2822,1015,4,22,74,0,0
0,0,256,113160,53568,1066844,0,0,0,0,3270,843,5,21,75,0,0
0,0,256,113160,53568,1066856,0,0,0,24,5211,926,2,30,68,0,0
2,0,256,113160,53568,1066860,0,0,0,0,4552,998,4,28,68,0,0
0,0,256,113160,53568,1066856,0,0,0,0,2406,882,5,18,77,0,0
