r,b,swpd,libero,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st
0,0,256,124356,52684,1064736,0,0,177,36,2406,1368,9,16,75,0,0
0,0,256,124356,52684,1064832,0,0,4,0,1087,3290,39,12,48,1,0
0,0,256,124356,52684,1064780,0,0,0,0,209,689,4,2,94,0,0
4,0,256,124356,52684,1064764,0,0,0,0,1700,630,5,13,82,0,0
0,0,256,124356,52684,1064768,0,0,0,492,5177,1034,7,29,64,0,0
1,0,256,124356,52716,1064812,0,0,0,224,3907,1267,8,23,68,0,0
2,0,256,124356,52716,1064904,0,0,0,172,5211,2148,16,40,45,0,0
0,0,256,124356,52716,1064904,0,0,0,0,3650,2045,24,27,49,0,0
1,0,256,124356,52716,1064848,0,0,0,0,4123,924,4,25,71,0,0
1,0,256,124356,52716,1064848,0,0,0,32,4929,963,4,24,72,0,0
0,0,256,124356,52724,1064844,0,0,0,84,6043,1088,10,31,59,0,0
0,0,256,124356,52724,1064856,0,0,0,8,4465,1029,5,31,64,0,0
3,0,256,124356,52724,1064864,0,0,0,4,5380,1027,6,29,65,0,0
1,0,256,124356,52724,1064868,0,0,0,0,6024,865,3,31,66,0,0
1,0,256,124356,52724,1064872,0,0,0,28,3935,1022,4,27,69,0,0
0,0,256,124356,52732,1064872,0,0,0,40,3777,1032,7,21,72,0,0
0,0,256,124356,52732,1064876,0,0,0,0,4684,992,4,26,70,0,0
0,0,256,124356,52732,1064880,0,0,0,0,4422,878,5,22,72,0,0
0,0,256,124356,52732,1064884,0,0,0,4,3268,809,3,22,75,0,0
0,0,256,122116,52732,1064888,0,0,0,28,3684,794,2,24,74,0,0
0,0,256,122116,52740,1064892,0,0,0,28,4293,850,6,20,73,0,0
0,0,256,121892,52740,1064896,0,0,0,0,6845,1825,7,33,60,0,0
1,0,256,121892,52740,1064900,0,0,0,0,3990,1461,6,26,68,0,0
0,0,256,121892,52740,1064908,0,0,0,0,3890,815,3,26,71,0,0
0,0,256,121892,52740,1064908,0,0,0,28,3747,675,2,20,78,0,0
0,0,256,121892,52748,1064908,0,0,0,28,3280,796,5,15,79,0,0
0,0,256,120996,52756,1064920,0,0,0,116,4207,913,8,19,73,0,0
0,0,256,120996,52772,1064948,0,0,0,124,1914,791,4,13,83,0,0
0,0,256,120996,52772,1064968,0,0,0,0,2783,773,6,19,75,0,0
0,0,256,120996,52772,1064972,0,0,0,28,5295,780,4,28,68,0,0
0,0,256,120996,52772,1064976,0,0,0,4,3800,842,5,21,74,0,0
2,0,256,120996,52772,1064980,0,0,0,40,3175,858,5,20,75,0,0
3,0,256,120996,52780,1064984,0,0,0,88,1814,830,5,16,79,0,0
0,0,256,120996,52780,1064988,0,0,0,0,1576,726,4,13,83,0,0
0,0,256,120324,52780,1065000,0,0,0,24,2619,742,4,18,78,0,0
0,0,256,120324,52780,1065004,0,0,0,0,2210,778,4,16,80,0,0
1,0,256,120324,52780,1065000,0,0,0,4,4503,892,6,26,68,0,0
0,0,256,120324,52788,1064996,0,0,0,72,4469,860,2,28,70,0,0
2,0,256,120324,52788,1065008,0,0,0,0,1821,719,5,11,83,0,0
0,0,256,120324,52788,1065012,0,0,0,24,1806,653,3,14,83,0,0
0,0,256,120324,52788,1065020,0,0,0,0,2766,842,4,22,74,0,0
0,0,256,120324,52788,1065024,0,0,0,0,2293,756,6,11,82,0,0
0,0,256,120324,52796,1065028,0,0,0,32,3308,816,5,19,76,0,0
1,0,256,120324,52796,1065028,0,0,0,0,4802,838,4,23,73,0,0
0,0,256,120324,52796,1065036,0,0,0,28,1928,693,4,13,83,0,0
0,0,256,120324,52796,1065036,0,0,0,0,1957,801,2,17,81,0,0
1,0,256,120324,52796,1065044,0,0,0,0,3067,883,5,21,74,0,0
0,0,256,120324,52804,1065048,0,0,0,44,3392,812,6,18,76,0,0
0,0,256,120324,52804,1065056,0,0,0,8,3730,819,4,21,75,0,0
1,0,256,120324,52804,1065060,0,0,0,0,3268,712,3,21,76,0,0
2,0,256,120324,52804,1065064,0,0,0,24,3097,805,4,23,73,0,0
1,0,256,120324,52804,1065068,0,0,0,0,2477,846,4,20,76,0,0
2,0,256,120324,52812,1065076,0,0,0,36,1581,786,3,14,83,0,0
1,0,256,120324,52812,1065080,0,0,0,0,4174,785,6,24,70,0,0
1,0,256,120324,52812,1065084,0,0,0,4,4640,715,4,21,75,0,0
0,0,256,120324,52812,1065088,0,0,0,28,4123,860,6,23,71,0,0
0,0,256,120324,52812,1065096,0,0,0,0,1641,796,6,10,84,0,0
0,0,256,120324,52820,1065088,0,0,0,52,1750,781,1,16,83,0,0
0,0,256,120324,52820,1065104,0,0,0,0,2672,785,6,21,74,0,0
0,0,256,120324,52820,1065104,0,0,0,0,4504,731,4,24,72,0,0
1,0,256,120324,52820,1065112,0,0,0,28,4009,851,6,20,74,0,0
0,0,256,120324,52820,1065112,0,0,0,0,3852,814,4,20,76,0,0
0,0,256,120324,52828,1065120,0,0,0,28,2218,812,3,18,79,0,0
