r,b,swpd,libero,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st
0,0,256,147072,67576,1017024,0,0,53,23,799,1075,6,23,71,0,0
4,0,256,147072,67576,1017032,0,0,0,576,8244,2123,34,62,4,0,0
3,0,256,147072,67576,1017028,0,0,0,0,13836,1819,8,86,6,0,0
1,0,256,147072,67588,1017024,0,0,0,180,13070,1713,8,76,16,0,0
8,0,256,147072,67588,1017048,0,0,0,52,11623,1837,12,79,9,0,0
2,0,256,147072,67588,1017048,0,0,0,0,12258,1828,13,76,11,0,0
4,0,256,147072,67588,1017060,0,0,0,4,14405,2058,5,91,4,0,0
4,0,256,147072,67588,1017072,0,0,0,0,13330,1651,9,78,13,0,0
8,1,256,147072,67596,1017104,0,0,0,204,13483,1749,8,82,10,0,0
16,0,256,117248,67596,1017104,0,0,0,88,13835,2586,7,91,2,0,0
0,0,256,138664,67596,1017116,0,0,0,0,14803,2105,9,89,2,0,0
1,0,256,138696,67596,1017148,0,0,0,0,13234,1814,9,73,18,0,0
2,0,256,138456,67596,1017160,0,0,0,4,13090,1923,8,85,7,0,0
0,0,256,138456,67604,1017164,0,0,0,28,11345,1550,4,67,29,0,0
1,0,256,138456,67604,1017176,0,0,0,80,14652,1709,6,86,8,0,0
10,0,256,138456,67604,1017204,0,0,0,0,12487,1645,9,72,19,0,0
26,0,256,138456,67604,1017220,0,0,0,0,14688,1814,11,87,2,0,0
11,0,256,132840,67604,1017220,0,0,0,0,15408,2424,6,94,0,0,0
8,0,256,132840,67612,1017248,0,0,0,48,16159,1793,9,90,1,0,0
7,0,256,132840,67612,1017264,0,0,0,80,14438,1748,13,83,4,0,0
5,0,256,132840,67612,1017280,0,0,0,0,14159,1828,12,84,4,0,0
15,0,256,130376,67612,1017292,0,0,0,0,14690,1762,10,90,0,0,0
15,0,256,120072,67612,1017308,0,0,0,0,14651,1882,9,89,2,0,0
12,0,256,120072,67620,1017320,0,0,0,28,14480,1996,10,89,1,0,0
10,0,256,120072,67620,1017336,0,0,0,84,14128,1821,11,85,4,0,0
2,0,256,120072,67620,1017352,0,0,0,0,14156,2115,10,87,3,0,0
1,0,256,126832,67620,1017368,0,0,0,0,16291,1774,8,88,4,0,0
2,0,256,136180,67620,1017384,0,0,0,0,15052,1621,11,77,12,0,0
10,0,256,135940,67628,1017396,0,0,0,28,13418,1580,11,73,17,0,0
1,0,256,135940,67628,1017412,0,0,0,92,14493,1710,14,79,7,0,0
10,0,256,135940,67628,1017428,0,0,0,4,15921,1695,6,89,5,0,0
4,0,256,135688,67628,1017444,0,0,0,0,15978,1781,8,89,3,0,0
15,0,256,123352,67628,1017456,0,0,0,0,15172,2047,10,90,0,0,0
9,0,256,123352,67636,1017472,0,0,0,28,14433,1971,11,87,2,0,0
15,0,256,123352,67636,1017484,0,0,0,80,14926,1877,9,89,2,0,0
1,0,256,127776,67636,1017500,0,0,0,0,16056,1541,6,89,5,0,0
9,0,256,127524,67636,1017520,0,0,0,4,15939,1954,15,84,1,0,0
19,0,256,125464,67636,1017536,0,0,0,0,14548,1918,9,91,0,0,0
25,0,256,119192,67644,1017536,0,0,0,28,14646,1966,8,91,1,0,0
4,0,256,119192,67660,1017560,0,0,0,224,14924,1895,10,87,3,0,0
1,0,256,129604,67660,1017576,0,0,0,0,15761,1755,12,82,6,0,0
1,0,256,135568,67660,1017592,0,0,0,0,14194,1598,12,75,13,0,0
16,0,256,133536,67660,1017604,0,0,0,4,14591,1546,6,88,6,0,0
16,0,256,99668,67660,1017616,0,0,0,0,15222,2593,9,91,0,0,0
7,0,256,129664,67668,1017632,0,0,0,28,15368,2188,10,89,1,0,0
12,0,256,129412,67668,1017644,0,0,0,76,15529,2071,9,91,0,0,0
17,0,256,129412,67668,1017660,0,0,0,0,14298,2141,8,92,0,0,0
3,0,256,129412,67668,1017676,0,0,0,0,14254,1670,10,87,3,0,0
4,0,256,130196,67668,1017692,0,0,0,8,14792,1844,8,88,4,0,0
9,0,256,134584,67676,1017708,0,0,0,60,13055,1648,9,74,17,0,0
1,0,256,134840,67676,1017724,0,0,0,80,11220,1623,9,67,24,0,0
6,0,256,134600,67676,1017736,0,0,0,0,13242,1584,8,71,20,0,0
13,0,256,118204,67676,1017752,0,0,0,0,15980,2024,9,91,0,0,0
8,0,256,118204,67676,1017768,0,0,0,4,14907,1801,6,92,2,0,0
10,0,256,118204,67684,1017780,0,0,0,28,14486,1880,9,90,1,0,0
12,0,256,118204,67684,1017796,0,0,0,76,14511,2147,10,89,1,0,0
13,0,256,120012,67684,1017812,0,0,0,0,16634,1693,7,91,2,0,0
15,0,256,113276,67684,1017824,0,0,0,0,15903,1900,11,89,0,0,0
15,0,256,103360,67684,1017840,0,0,0,0,14125,2140,10,89,1,0,0
18,0,256,103360,67692,1017852,0,0,0,48,14808,2235,10,90,0,0,0
21,0,256,103360,67692,1017868,0,0,0,84,15223,2237,9,91,0,0,0
15,0,256,103360,67692,1017884,0,0,0,0,15208,2113,12,88,0,0,0
6,0,256,119684,67692,1017900,0,0,0,0,13561,2049,9,91,0,0,0
0,0,256,133720,67692,1017916,0,0,0,0,11547,1518,6,73,22,0,0
5,0,256,133736,67700,1017928,0,0,0,32,13587,1517,7,74,19,0,0
12,0,256,133736,67700,1017944,0,0,0,80,14884,1799,10,87,3,0,0
2,0,256,133736,67700,1017960,0,0,0,0,13522,1812,8,84,8,0,0
2,0,256,133736,67700,1017976,0,0,0,0,13189,1653,11,71,18,0,0
0,0,256,133736,67700,1017988,0,0,0,0,11040,1383,6,65,29,0,0
7,0,256,133736,67708,1018004,0,0,0,44,10582,1606,6,69,24,0,0
10,0,256,133736,67708,1018016,0,0,0,84,15365,2101,11,88,1,0,0
1,0,256,133736,67708,1018032,0,0,0,0,14368,1963,5,89,6,0,0
