 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   1292  72448  29924 867644    0    0     0     0  591  440  1 12 87  0  0
 0  0   1292  72876  29924 867644    0    0     0    24  580  442  1  8 92  0  0
 0  0   1292  73760  29924 867652    0    0     0     0  702  389  0 11 89  0  0
 3  0   1292  68496  29924 867652    0    0     0     0  674  434  1 17 83  0  0
 0  0   1292  72004  29932 867660    0    0     0    24  679  517  1 17 83  0  0
 0  0   1292  71352  29932 867660    0    0     0     0  881  536  1 21 78  0  0
 1  0   1292  71300  29932 867668    0    0     0    28  646  426  1 17 83  0  0
 1  0   1292  69728  29932 867672    0    0     0     0  698  384  0 10 90  0  0
 0  0   1292  71152  29932 867676    0    0     0     0  569  476  1 13 87  0  0
 0  0   1292  77468  29940 867680    0    0     0    24  563  350  0  9 91  0  0
 0  0   1292  70916  29940 867680    0    0     0     0  538  323  0  8 92  0  0
 0  0   1292  69896  29940 867688    0    0     0    28  432  345  1 11 89  0  0
 0  0   1292  68284  29940 867692    0    0     0     0  533  374  1 13 86  0  0
 0  0   1292  69692  29940 867692    0    0     0     0  428  321  0  6 94  0  0
 0  0   1292  68604  29948 867696    0    0     0    24  550  367  0 10 90  0  0
 0  0   1292  69544  29948 867696    0    0     0     0  449  347  1 12 87  0  0
 0  0   1292  69216  29948 867704    0    0     0     0  476  333  1 10 90  0  0
 0  0   1292  71932  29948 867704    0    0     0    24  506  389  0  8 92  0  0
 0  0   1292  72636  29948 867708    0    0     0     0  423  342  1  7 92  0  0
 0  0   1292  69136  29956 867712    0    0     0    24  542  338  0 16 84  0  0
 0  0   1292  67408  29956 867712    0    0     0     0  436  358  1 11 88  0  0
 0  0   1292  68888  29956 867724    0    0     0     0  424  320  0  9 91  0  0
 0  0   1292  70328  29956 867724    0    0     0    28  424  342  1 10 89  1  0
 0  0   1292  79068  29956 867288    0    0     0     0  494  405  1 13 87  0  0
 0  0   1292  78616  29964 867280    0    0     0    28  474  346  0  7 93  0  0
 0  0   1292  78544  29964 867296    0    0     0     0  432  327  0  9 91  0  0
 0  0   1292  79560  29964 867300    0    0     0     0  557  385  1 16 83  0  0
 1  0   1292  80116  29964 867304    0    0     0    28  661  364  0 15 85  0  0
 0  0   1292  77564  29964 867304    0    0     0     0  434  354  1 14 85  0  0
 1  0   1292  77036  29976 867308    0    0     0    36  507  365  0 13 87  0  0
 0  0   1292  78396  29976 867312    0    0     0     0  423  310  0  8 92  0  0
 0  0   1292  81512  29976 867316    0    0     0     0  528  312  1 13 86  0  0
 0  0   1292  78632  29976 867316    0    0     0    24  485  317  0  9 91  0  0
 1  0   1292  78772  29976 867320    0    0     0     0  507  326  1 11 89  0  0
 0  0   1292  78316  29988 867324    0    0     0    36  415  333  1  7 92  0  0
 0  0   1292  76044  29988 867328    0    0     0     0  488  310  1  5 94  0  0
 2  0   1292  77776  29988 867332    0    0     0     0  495  356  1 15 85  0  0
 0  0   1292  78328  29988 867332    0    0     0    24  450  366  0  9 91  0  0
 0  0   1292  77616  29988 867336    0    0     0     0  459  355  0 10 90  0  0
 1  0   1292  76292  30000 867340    0    0     0    40  492  343  0 13 87  0  0
 1  0   1292  77284  30000 867344    0    0     0     0  466  325  0 15 85  0  0
 2  0   1292  74660  30000 867344    0    0     0     0  532  314  0 12 88  0  0
 0  0   1292  76932  30000 867348    0    0     0    28  534  365  0 13 87  0  0
 0  0   1292  81696  30000 867352    0    0     0     0  465  309  1  9 91  0  0
 1  0   1292  76244  30012 867356    0    0     0    36  628  355  1 15 85  0  0
 0  0   1292  77080  30012 867360    0    0     0     0  464  344  0 11 89  0  0
 0  0   1292  77972  30012 867360    0    0     0     0  466  308  0 10 90  0  0
 0  0   1292  76176  30012 867364    0    0     0    24  615  323  0 11 89  0  0
 1  0   1292  76380  30012 867364    0    0     0     0  490  343  1  7 92  0  0
 1  0   1292  76948  30012 867372    0    0     0     0  671  316  1 12 87  0  0
 0  0   1292  76904  30024 867376    0    0     0    48  406  327  0  7 93  0  0
 0  0   1292  78384  30024 867376    0    0     0     0  554  335  0 12 88  0  0
 0  0   1292  76700  30024 867380    0    0     0   132  491  347  0 16 84  0  0
 0  0   1292  75356  30024 867384    0    0     0     0  562  307  0 10 90  0  0
 1  0   1292  75844  30024 867388    0    0     0     0  484  326  1 11 88  0  0
 2  0   1292  76872  30036 867392    0    0     0    36  543  359  0 20 80  0  0
 0  0   1292  74668  30036 867392    0    0     0     0  526  327  0 11 89  0  0
 0  0   1292  77160  30036 867396    0    0     0     0  528  334  0 11 89  0  0
 0  0   1292  77300  30036 867400    0    0     0    24  422  316  1  9 90  0  0
 1  0   1292  77080  30036 867404    0    0     0     0  567  347  1  7 92  0  0
 0  0   1292  75040  30048 867408    0    0     0    36  488  386  0 12 88  0  0
 3  0   1292  76568  30048 867408    0    0     0     0  555  357  0 10 90  0  0
 0  0   1292  76436  30048 867412    0    0     0     0  666  438  1 14 86  0  0
 2  0   1292  74936  30048 867416    0    0     0    24  542  400  0  8 92  0  0
 0  0   1292  75648  30048 867420    0    0     0     0  488  397  0 10 90  0  0
 0  0   1292  76624  30060 867408    0    0     0    48  542  467  0 11 89  0  0
 0  0   1292  75384  30060 867424    0    0     0     0  545  468  1 12 87  0  0
 1  0   1292  75012  30060 867428    0    0     0     0  465  408  1 11 88  0  0
 2  0   1292  74124  30060 867432    0    0     0   124  503  422  1 10 89  0  0
 0  0   1292  75064  30060 867412    0    0     0     0  524  431  0 11 89  0  0
 0  0   1292  76148  30072 867416    0    0     0    36  474  363  0  9 91  0  0
 2  0   1292  74500  30072 867420    0    0     0     0  604  480  0 14 86  0  0
 1  0   1292  74964  30072 867424    0    0     0     0  810  654  1 24 75  0  0
 2  0   1292  72584  30072 867548    0    0   120    28  698  477  0 14 86  0  0
 2  0   1292  71056  30072 873396    0    0  5844     0  878  646  1 30 69  0  0
 1  0   1292  69600  30076 871056    0    4    48    72  869  632  0 37 63  0  0
 1  0   1292  74908  30076 871060    0    0     0     0  772  581  0 32 68  0  0
 0  0   1292  79340  30028 867624    0    8     0     8  802  552  0 36 64  0  0
 1  0   1292  78984  30028 867632    0    0     0     0  844  597  1 34 65  0  0
 2  0   1292  76040  30028 867636    0    0     0     0  914  585  0 40 60  0  0
 0  0   1292  79840  30040 867644    0    0     0    76  824  767  1 43 57  0  0
 2  0   1292  74868  30040 867648    0    0     0     0  908  610  1 32 67  0  0
 1  0   1292  76196  30040 867652    0    0     0     0  913  635  1 41 58  0  0
 0  0   1292  76056  30040 867660    0    0     0     0  988  592  1 31 68  0  0
 1  0   1292  72432  30040 867664    0    0     0     0  860  489  1 30 70  0  0
 3  0   1292  73892  30052 867668    0    0     0    72  890  494  0 24 76  0  0
 1  0   1292  73896  30052 867672    0    0     0     0  782  597  1 36 64  0  0
 0  0   1292  73836  30052 867676    0    0     0     0  690  434  1 25 74  0  0
 0  0   1292  80188  30052 867680    0    0     0     0  676  494  0 29 71  0  0
 0  0   1292  77892  30052 867684    0    0     0     0  689  461  0 38 62  0  0
 1  0   1292  74952  30016 864708    0   12    24    84  832  519  1 32 67  0  0
 0  0   1292  81600  30016 863816    0    0     4     0  661  508  0 36 64  0  0
 2  0   1292  77496  30016 863824    0    0     4     0  654  390  1 26 74  0  0
 0  0   1292  84300  30016 863828    0    0     0     0  683  512  0 39 61  0  0
 1  0   1292  79976  30016 863832    0    0     0     0  699  508  1 41 59  0  0
 1  0   1292  79380  30028 863836    0    0     0    68  629  456  1 21 78  0  0
 2  0   1292  78332  30028 863840    0    0     0     0  833  533  0 40 60  0  0
