CTT,Throughput,Response Time,Power
1000.0,16.997400036977833,13.026212213852006,1.3048612872207692
2000.0,33.65935336367832,12.727133215849824,2.644692468666896
3000.0,50.32137647490239,15.066048214523994,3.3400514692626233
4000.0,66.9885912402654,17.879947218834207,3.746576565377195
4500.0,75.32045046953776,19.746882310202437,3.8142958106669145
5000.0,83.63146301941494,22.58162479138986,3.703518404543802
6000.0,100.27576588964057,47.97398101182136,2.090211480780205
6500.0,107.9690610675879,110.36769333661096,0.9782668986140043
7000.0,115.441803483121,133.0154827946053,0.8678824529124888
8000.0,124.8965206805148,249.64770121764164,0.5002910904900767
9000.0,125.27431886068678,377.11404400359373,0.332192133527366
12000.0,99.9707579099139,639.3913771666361,0.15635299674030456
