 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0  21348  97680  40688 759264    0    0     0     0 1502  528  0 46 54  0  0
 3  0  21348  97680  40688 759276    0    0     0     0 1506  565  1 45 54  0  0
 1  0  21348  97680  40688 759284    0    0     0     0 1260  580  0 70 30  0  0
 2  0  21348  97680  40696 759292    0    0     0    52 1703  571  1 68 31  0  0
 1  0  21348  97680  40696 759300    0    0     0     0 1502  556  1 55 44  0  0
 1  0  21348  97680  40696 759304    0    0     0     0 1313  593  1 66 33  0  0
 0  0  21348  97680  40696 759312    0    0     0     0 1050  625  0 67 33  0  0
 3  0  21348  97680  40696 759320    0    0     0     0 1447  645  1 80 19  0  0
 3  0  21348  97680  40704 759328    0    0     0    64 1199  573  1 55 44  0  0
 1  0  21348  97680  40704 759336    0    0     0     0 1371  566  0 51 49  0  0
 2  0  21348  97680  40704 759336    0    0     0     0 1422  530  1 48 51  0  0
 0  0  21348  97680  40704 759352    0    0     0     0 1426  578  0 60 40  0  0
 3  0  21348  97680  40704 759352    0    0     0     0 1293  488  0 34 66  0  0
 2  0  21348  97680  40712 759364    0    0     0    16 1597  637  1 69 30  0  0
 1  0  21348  97680  40712 759372    0    0     0     0 1217  631  1 68 31  0  0
 0  0  21348  97680  40712 759380    0    0     0     0 1189  620  2 55 43  0  0
 1  0  21348  97680  40712 759388    0    0     0     0 1557  613  0 81 19  0  0
 0  0  21348  97680  40712 759388    0    0     0     0 1174  604  1 63 36  0  0
 6  0  21348  97680  40720 759404    0    0     0   256 1239  650  1 65 34  0  0
 6  0  21348  97680  40720 759404    0    0     0     0  629  754  0 93  7  0  0
 0  0  21348  97680  40720 759420    0    0     0     0 1583  579  1 72 27  0  0
 2  0  21348  97680  40720 759428    0    0     0     0 1105  653  1 65 34  0  0
 3  0  21348  97680  40720 759436    0    0     0     0 1339  558  0 70 30  0  0
 2  0  21348  97680  40728 759444    0    0     0    28 1273  583  0 50 50  0  0
 0  0  21348  97680  40728 759444    0    0     0     0 1373  560  1 70 29  0  0
 1  0  21348  97680  40728 759460    0    0     0     0 1093  635  0 67 33  0  0
 1  0  21348  97680  40728 759468    0    0     0     0 1076  653  0 84 16  0  0
 0  0  21348  97680  40728 759468    0    0     0     0 1170  608  0 56 44  0  0
 0  0  21348  97680  40736 759484    0    0     0    16 1253  515  1 41 57  1  0
 3  0  21348  97680  40736 759488    0    0     0     0 1206  620  0 71 29  0  0
 3  0  21348  97680  40736 759496    0    0     0     0  588  689  1 80 19  0  0
 3  0  21348  97680  40736 759504    0    0     0     0 1027  620  1 73 26  0  0
 4  0  21348  97680  40736 759512    0    0     0     0 1342  529  0 65 35  0  0
 1  0  21348  97680  40744 759520    0    0     0    16 1201  592  1 60 39  0  0
 2  0  21348  97680  40744 759520    0    0     0     0 1519  583  0 59 41  0  0
 0  0  21348  97680  40744 759536    0    0     0     0 1238  606  0 69 31  0  0
 1  0  21348  97680  40744 759536    0    0     0     0 1382  516  0 49 51  0  0
 2  0  21348  97680  40744 759548    0    0     0     0 1327  587  1 63 36  0  0
 1  0  21348  97680  40752 759556    0    0     0    16 1123  630  0 70 30  0  0
 2  0  21348  97680  40752 759564    0    0     0     0 1421  646  1 65 34  0  0
 0  0  21348  97680  40752 759564    0    0     0     0 1314  579  1 55 44  0  0
 1  0  21348  97680  40752 759576    0    0     0     0 1353  638  1 84 15  0  0
 3  0  21348  97680  40752 759588    0    0     0     0  731  701  0 89 11  0  0
 1  0  21348  97680  40760 759580    0    0     0    44 1166  586  0 50 50  0  0
 0  0  21348  97680  40760 759604    0    0     0    40 1472  618  1 68 31  0  0
 1  0  21348  97680  40760 759604    0    0     0     0 1610  523  0 42 58  0  0
 4  0  21348  97680  40760 759616    0    0     0     0 1382  573  1 58 41  0  0
 2  0  21348  97680  40760 759624    0    0     0     0 1143  681  0 75 25  0  0
 0  0  21348  97680  40768 759632    0    0     0    16 1059  664  1 65 34  0  0
 2  0  21348  97680  40768 759632    0    0     0   240 1254  714  2 69 29  0  0
 3  0  21348  97680  40768 759648    0    0     0     0 1396  558  1 42 57  0  0
 1  0  21348  97680  40768 759652    0    0     0     0 1197  767  1 87 12  0  0
 3  0  21348  97680  40768 759660    0    0     0     0 1038  711  0 84 16  0  0
 2  0  21348  97680  40776 759668    0    0     0    36 1223  646  1 62 37  0  0
 1  0  21348  97680  40776 759676    0    0     0     0 1421  598  0 58 42  0  0
 1  0  21348  97680  40776 759684    0    0     0     0  958  637  1 66 33  0  0
 1  0  21348  97680  40776 759692    0    0     0     0 1412  624  0 60 40  0  0
 1  0  21348  97680  40776 759692    0    0     0     0 1157  657  0 69 31  0  0
 0  0  21348  97680  40784 759704    0    0     0    16 1357  662  0 75 25  0  0
 0  0  21348  97680  40784 759716    0    0     0     0 1565  537  1 44 55  0  0
 1  0  21348  97680  40784 759716    0    0     0     0 1246  619  1 73 26  0  0
 2  0  21348  97680  40784 759728    0    0     0     0 1238  648  0 65 35  0  0
 1  0  21348  97680  40784 759732    0    0     0     0  583  735  0 95  5  0  0
 0  0  21348  97680  40792 759744    0    0     0    16 1076  650  2 73 25  0  0
 2  0  21348  97680  40792 759752    0    0     0     0 1238  603  0 65 35  0  0
 0  0  21348  97680  40792 759760    0    0     0     0  931  691  1 78 21  0  0
 0  0  21348  97680  40792 759760    0    0     0     0 1359  491  1 25 74  0  0
 2  0  21348  97680  40792 759776    0    0     0     0 1356  531  0 44 56  0  0
 1  0  21348  97680  40800 759780    0    0     0    16 1304  646  0 69 31  0  0
 2  0  21348  97680  40800 759784    0    0     0     0  956  655  2 83 15  0  0
 0  0  21348  97680  40800 759796    0    0     0     0  560  757  0 87 13  0  0
 2  0  21348  97680  40800 759808    0    0     0     0 1558  523  0 45 55  0  0
 0  0  21348  97680  40800 759808    0    0     0     0 1522  551  0 66 34  0  0
 2  0  21348  97680  40808 759820    0    0     0    16 1033  671  1 62 37  0  0
 2  0  21348  97680  40808 759832    0    0     0     0 1138  582  1 51 48  0  0
 2  0  21348  97680  40808 759840    0    0     0   172 1260  615  0 62 38  0  0
 2  0  21348  97680  40808 759840    0    0     0     0 1016  661  1 82 17  0  0
 1  0  21348  97680  40808 759852    0    0     0     0 1151  622  1 55 44  0  0
 0  0  21348  97680  40816 759860    0    0     0    16 1086  634  1 81 18  0  0
 4  0  21348  97680  40816 759860    0    0     0     0 1472  651  1 62 37  0  0
 1  0  21348  97680  40816 759876    0    0     0   260 1340  593  0 55 45  0  0
 2  0  21348  97680  40816 759880    0    0     0     0 1071  647  0 71 29  0  0
 0  0  21348  97680  40816 759892    0    0     0     0 1298  582  1 64 35  0  0
 3  0  21348  97680  40824 759896    0    0     0    36 1185  653  1 70 29  0  0
 1  0  21348  97680  40824 759904    0    0     0     0 1272  582  0 64 36  0  0
 0  0  21348  97680  40824 759912    0    0     0     0 1195  648  1 68 31  0  0
 3  0  21348  97680  40824 759912    0    0     0     0  574  701  0 93  7  0  0
 0  0  21348  97680  40824 759928    0    0     0     0  712  728  1 84 15  0  0
 0  0  21348  97680  40832 759936    0    0     0    16 1294  591  1 58 41  0  0
 5  0  21348  97680  40832 759944    0    0     0     0 1474  554  1 58 41  0  0
 2  0  21348  97680  40832 759948    0    0     0     0  674  702  1 91  8  0  0
 2  0  21348  97680  40832 759956    0    0     0     0  821  669  0 78 22  0  0
 0  0  21348  97680  40832 759964    0    0     0     0 1244  609  1 57 42  0  0
 3  0  21348  97680  40840 759972    0    0     0    16  933  694  0 83 17  0  0
 2  0  21348  97680  40840 759980    0    0     0     0 1568  574  0 54 46  0  0
 1  0  21348  97680  40840 759988    0    0     0     0  871  676  1 84 15  0  0
 1  0  21348  97680  40840 759996    0    0     0     0 1245  597  0 62 38  0  0
 1  0  21348  97680  40840 760004    0    0     0     0  447  760  2 91  7  0  0
 3  0  21348  97680  40848 760012    0    0     0    16 1139  608  1 58 41  0  0
 2  0  21348  97680  40848 760016    0    0     0     0 1551  597  0 59 41  0  0
 0  0  21348  97680  40848 760024    0    0     0     0 1310  543  1 45 54  0  0
 0  0  21348  97680  40848 760032    0    0     0     0 1173  657  0 78 22  0  0
 1  0  21348  97680  40848 760040    0    0     0     0 1137  601  1 63 36  0  0
 1  0  21348  97680  40856 760032    0    0     0    16 1451  609  1 54 45  0  0
 4  0  21348  97680  40856 760056    0    0     0     0 1312  614  0 65 35  0  0
 3  0  21348  97680  40856 760064    0    0     0     0  533  680  1 82 17  0  0
 3  0  21348  97680  40856 760064    0    0     0     0 1262  650  1 68 31  0  0
 1  0  21348  97680  40856 760076    0    0     0     0 1059  615  1 63 36  0  0
 1  0  21348  97680  40864 760084    0    0     0    16 1296  654  1 69 30  0  0
 3  0  21348  97680  40864 760092    0    0     0     0 1321  665  1 60 39  0  0
 3  0  21348  97680  40864 760100    0    0     0   236 1308  620  1 59 40  0  0
 1  0  21348  97680  40864 760108    0    0     0     0 1539  594  0 52 48  0  0
 0  0  21348  97680  40864 760116    0    0     0     0 1177  586  0 48 52  0  0
 2  0  21348  97680  40872 760124    0    0     0    28 1551  573  1 44 55  0  0
 5  0  21348  97680  40872 760128    0    0     0     0 1211  586  0 53 47  0  0
 6  0  21348  97680  40872 760136    0    0     0     0 1528  677  2 78 20  0  0
 1  0  21348  97680  40872 760144    0    0     0    24  381  786  1 99  0  0  0
 0  0  21348  97680  40872 760152    0    0     0     0 1036  670  1 71 28  0  0
 0  0  21348  97680  40880 760160    0    0     0    16 1387  715  0 64 36  0  0
 1  0  21348  97680  40880 760168    0    0     0     0 1473  559  0 53 47  0  0
 0  0  21348  97680  40880 760176    0    0     0     0 1054  636  2 62 36  0  0
 0  0  21348  97680  40880 760184    0    0     0     0 1676  586  0 65 35  0  0
 4  0  21348  97680  40880 760196    0    0     0     0 1239  604  1 61 38  0  0
 2  0  21348  97680  40888 760200    0    0     0    16 1489  575  0 52 48  0  0
 1  0  21348  97680  40888 760208    0    0     0     0 1447  564  1 52 47  0  0
 4  0  21348  97680  40888 760216    0    0     0     0 1175  562  1 59 40  0  0
 1  0  21348  97680  40888 760224    0    0     0     0 1148  628  0 78 22  0  0
 2  0  21348  97680  40888 760232    0    0     0     0  989  632  0 72 28  0  0
 2  0  21348  97680  40896 760240    0    0     0    16 1052  591  1 62 37  0  0
 1  0  21348  97680  40896 760248    0    0     0     0 1222  630  1 73 26  0  0
 1  0  21348  97680  40896 760252    0    0     0     0 1299  527  0 38 62  0  0
 0  0  21348  97680  40896 760260    0    0     0     0 1334  625  0 73 27  0  0
 1  0  21348  97680  40896 760268    0    0     0     0 1514  580  2 63 35  0  0
 0  0  21348  97680  40904 760276    0    0     0    16 1175  643  0 70 30  0  0
 4  0  21348  97680  40904 760284    0    0     0     0 1116  677  2 73 25  0  0
 1  0  21348  97680  40904 760292    0    0     0     0  927  672  0 90 10  0  0
 1  0  21348  97680  40904 760300    0    0     0     0 1063  588  1 53 46  0  0
 2  0  21348  97680  40904 760304    0    0     0     0 1445  551  1 47 52  0  0
 0  0  21348  97680  40912 760312    0    0     0    16 1055  630  0 61 39  0  0
 1  0  21348  97680  40912 760320    0    0     0     0 1295  547  1 61 38  0  0
 1  0  21348  97680  40912 760328    0    0     0     0 1400  565  1 55 44  0  0
 0  0  21348  97680  40912 760336    0    0     0   232 1046  645  0 74 26  0  0
 1  0  21348  97680  40912 760344    0    0     0     0 1355  553  1 47 52  0  0
 0  0  21348  97680  40920 760352    0    0     0    28 1082  598  2 63 35  0  0
 1  0  21348  97680  40920 760360    0    0     0     0 1488  618  1 64 35  0  0
 0  0  21348  97680  40920 760368    0    0     0     0 1350  582  2 53 45  0  0
 2  0  21348  97680  40920 760372    0    0     0     0  944  679  0 80 20  0  0
 5  0  21348  97680  40920 760380    0    0     0     0  996  632  0 72 28  0  0
 0  0  21348  97680  40928 760388    0    0     0    16 1142  592  1 62 37  0  0
 0  0  21348  97680  40928 760396    0    0     0     0 1061  637  2 66 32  0  0
 3  0  21348  97680  40928 760404    0    0     0     0  953  676  1 70 29  0  0
 3  0  21348  97680  40928 760412    0    0     0    20 1209  640  1 72 27  0  0
 0  0  21348  97680  40928 760420    0    0     0     0 1392  629  0 63 37  0  0
 1  0  21348  97680  40936 760424    0    0     0    24 1165  629  2 74 24  0  0
 0  0  21348  97680  40936 760432    0    0     0     0 1376  552  0 49 51  0  0
 2  0  21348  97680  40936 760440    0    0     0     0  910  617  1 66 33  0  0
